"gene","module","gene_clean","symbol","is_GenAge"
"ENSG00000134184.13","grey","ENSG00000134184","GSTM1",FALSE
"ENSG00000149968.12","brown","ENSG00000149968","MMP3",FALSE
"ENSG00000288777.1","grey","ENSG00000288777","ENSG00000288777",FALSE
"ENSG00000115221.12","blue","ENSG00000115221","ITGB6",FALSE
"ENSG00000265142.9","blue","ENSG00000265142","MIR133A1HG",FALSE
"ENSG00000173432.13","black","ENSG00000173432","SAA1",FALSE
"ENSG00000134339.9","black","ENSG00000134339","SAA2",FALSE
"ENSG00000248746.6","yellow","ENSG00000248746","ACTN3",FALSE
"ENSG00000133048.13","black","ENSG00000133048","CHI3L1",FALSE
"ENSG00000129170.10","blue","ENSG00000129170","CSRP3",FALSE
"ENSG00000272021.1","brown","ENSG00000272021","ENSG00000272021",FALSE
"ENSG00000231806.4","blue","ENSG00000231806","PCAT7",FALSE
"ENSG00000196136.18","black","ENSG00000196136","SERPINA3",FALSE
"ENSG00000236882.8","brown","ENSG00000236882","LINC01554",FALSE
"ENSG00000145949.11","tan","ENSG00000145949","MYLK4",FALSE
"ENSG00000124107.5","brown","ENSG00000124107","SLPI",FALSE
"ENSG00000128965.13","brown","ENSG00000128965","CHAC1",FALSE
"ENSG00000174611.12","blue","ENSG00000174611","KY",FALSE
"ENSG00000214097.5","blue","ENSG00000214097","SMCO1",FALSE
"ENSG00000289456.1","brown","ENSG00000289456","ENSG00000289456",FALSE
"ENSG00000188488.14","grey60","ENSG00000188488","SERPINA5",FALSE
"ENSG00000119508.18","orange","ENSG00000119508","NR4A3",FALSE
"ENSG00000180875.5","yellow","ENSG00000180875","GREM2",FALSE
"ENSG00000133020.4","turquoise","ENSG00000133020","MYH8",FALSE
"ENSG00000172458.5","blue","ENSG00000172458","IL17D",FALSE
"ENSG00000137968.17","grey","ENSG00000137968","SLC44A5",FALSE
"ENSG00000278445.1","yellow","ENSG00000278445","ENSG00000278445",FALSE
"ENSG00000178055.13","blue","ENSG00000178055","PRSS42P",FALSE
"ENSG00000157087.20","blue","ENSG00000157087","ATP2B2",FALSE
"ENSG00000134240.12","yellow","ENSG00000134240","HMGCS2",FALSE
"ENSG00000214970.8","yellow","ENSG00000214970","ENSG00000214970",FALSE
"ENSG00000160808.11","yellow","ENSG00000160808","MYL3",FALSE
"ENSG00000116285.13","brown","ENSG00000116285","ERRFI1",FALSE
"ENSG00000141579.7","grey60","ENSG00000141579","ZNF750",FALSE
"ENSG00000144644.15","blue","ENSG00000144644","GADL1",FALSE
"ENSG00000142178.9","grey","ENSG00000142178","SIK1",FALSE
"ENSG00000204460.3","yellow","ENSG00000204460","LINC01854",FALSE
"ENSG00000149575.9","blue","ENSG00000149575","SCN2B",FALSE
"ENSG00000235263.1","brown","ENSG00000235263","ENSG00000235263",FALSE
"ENSG00000170477.13","skyblue","ENSG00000170477","KRT4",FALSE
"ENSG00000075702.19","blue","ENSG00000075702","WDR62",FALSE
"ENSG00000189350.13","brown","ENSG00000189350","TOGARAM2",FALSE
"ENSG00000164879.7","blue","ENSG00000164879","CA3",FALSE
"ENSG00000235295.2","blue","ENSG00000235295","LINC01634",FALSE
"ENSG00000148677.7","lightcyan","ENSG00000148677","ANKRD1",FALSE
"ENSG00000286619.1","grey","ENSG00000286619","ENSG00000286619",FALSE
"ENSG00000171401.15","skyblue","ENSG00000171401","KRT13",FALSE
"ENSG00000078814.18","blue","ENSG00000078814","MYH7B",FALSE
"ENSG00000182177.15","blue","ENSG00000182177","ASB18",FALSE
"ENSG00000285155.1","blue","ENSG00000285155","ENSG00000285155",FALSE
"ENSG00000188933.16","grey","ENSG00000188933","USP32P1",FALSE
"ENSG00000281344.1","black","ENSG00000281344","HELLPAR",FALSE
"ENSG00000112096.19","brown","ENSG00000112096","SOD2",TRUE
"ENSG00000185271.9","blue","ENSG00000185271","KLHL33",FALSE
"ENSG00000096060.15","brown","ENSG00000096060","FKBP5",FALSE
"ENSG00000227827.3","grey","ENSG00000227827","PKD1P2",FALSE
"ENSG00000273906.1","grey","ENSG00000273906","ENSG00000273906",FALSE
"ENSG00000123689.6","yellow","ENSG00000123689","G0S2",FALSE
"ENSG00000271959.1","turquoise","ENSG00000271959","ENSG00000271959",FALSE
"ENSG00000235070.3","blue","ENSG00000235070","ENSG00000235070",FALSE
"ENSG00000185847.9","yellow","ENSG00000185847","LINC01405",FALSE
"ENSG00000156802.13","brown","ENSG00000156802","ATAD2",FALSE
"ENSG00000223784.2","blue","ENSG00000223784","LINP1",FALSE
"ENSG00000204983.15","white","ENSG00000204983","PRSS1",FALSE
"ENSG00000279668.3","yellow","ENSG00000279668","ENSG00000279668",FALSE
"ENSG00000226074.5","blue","ENSG00000226074","PRSS44P",FALSE
"ENSG00000275896.7","white","ENSG00000275896","PRSS2",FALSE
"ENSG00000129173.13","blue","ENSG00000129173","E2F8",FALSE
"ENSG00000286651.2","blue","ENSG00000286651","PRSS43P",FALSE
"ENSG00000204099.12","grey60","ENSG00000204099","NEU4",FALSE
"ENSG00000283709.1","blue","ENSG00000283709","FAM238C",FALSE
"ENSG00000129988.6","lightcyan","ENSG00000129988","LBP",FALSE
"ENSG00000143127.13","brown","ENSG00000143127","ITGA10",FALSE
"ENSG00000171885.18","yellow","ENSG00000171885","AQP4",FALSE
"ENSG00000166741.8","black","ENSG00000166741","NNMT",FALSE
"ENSG00000185105.5","blue","ENSG00000185105","MYADML2",FALSE
"ENSG00000105664.11","darkgrey","ENSG00000105664","COMP",FALSE
"ENSG00000170160.18","grey","ENSG00000170160","CCDC144A",FALSE
"ENSG00000188037.14","blue","ENSG00000188037","CLCN1",FALSE
"ENSG00000164434.12","tan","ENSG00000164434","FABP7",FALSE
"ENSG00000270765.7","yellow","ENSG00000270765","GAS2L2",FALSE
"ENSG00000226094.1","blue","ENSG00000226094","RPL7P3",FALSE
"ENSG00000181016.9","blue","ENSG00000181016","LSMEM1",FALSE
"ENSG00000048052.24","blue","ENSG00000048052","HDAC9",FALSE
"ENSG00000285774.4","blue","ENSG00000285774","ENSG00000285774",FALSE
"ENSG00000188257.12","green","ENSG00000188257","PLA2G2A",FALSE
"ENSG00000149926.14","yellow","ENSG00000149926","TLCD3B",FALSE
"ENSG00000234438.5","blue","ENSG00000234438","KBTBD13",FALSE
"ENSG00000224614.2","brown","ENSG00000224614","TNK2-AS1",FALSE
"ENSG00000115112.8","brown","ENSG00000115112","TFCP2L1",FALSE
"ENSG00000171388.12","blue","ENSG00000171388","APLN",FALSE
"ENSG00000171246.6","grey","ENSG00000171246","NPTX1",FALSE
