"","AGE","SEX"
"MEdarkred",-0.100714945947742,0.0700586500260748
"MEsalmon",0.0966286101558699,0.0714756579030779
"MEgrey60",-0.19403400703993,0.0652950969905234
"MEtan",-0.350350906002632,-0.0348638826208099
"MEviolet",-0.179852294646187,-0.0100511508267843
"MEbrown",-0.222736411352392,0.11397704442532
"MEred",-0.349669432318651,0.04968448741243
"MEorange",0.163845620622345,-0.0276412750293781
"MEblue",0.214895171202869,-0.106616596116952
"MEyellow",-0.0710388110197415,-0.152828103697534
"MElightgreen",0.0970321772655637,0.0866452951207031
"MEpurple",0.0781255462131935,-0.00263161154067489
"MEdarkgreen",0.0993475231508127,0.00485404332376514
"MElightyellow",0.111589369829226,-0.00468195345490446
"MElightcyan",0.192091062717778,-0.0741292966060358
"MEblack",0.0733068009649197,0.109180737825716
"MEpink",0.224306956725794,0.0189467938378914
"MEgreenyellow",0.387223378226308,0.0549589110747134
"MEmidnightblue",0.277180192126427,0.0157447352252521
"MEdarkorange",0.132323176578844,-0.0328011141254117
"MEdarkturquoise",0.184301288228126,-0.0437239220871834
"MEsteelblue",0.179213718725671,-0.0729246019491368
"MEdarkgrey",0.0991970204924069,-0.0036734107000091
"MEturquoise",0.312918665263439,-0.0438081308106887
"MEsaddlebrown",0.014485151550926,0.0152788897922126
"MEcyan",0.0886471805344437,0.039963538401154
"MEgreen",0.16411800240847,0.083146457401204
"MEmagenta",0.00237222019581672,0.0106416429471164
"MEpaleturquoise",0.0356346601886076,0.0541692378285259
"MEwhite",0.0153247589764371,0.0387525933887847
"MEroyalblue",0.0372385482315531,0.0285977790015622
"MEskyblue",-0.0545823243003132,0.0412672867392308
"MEgrey",0.32697635381374,0.00621213474401966
