category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Organismal Systems	Sensory system	hsa04740	Olfactory transduction	209/2385	241/7725	0.867219917012448	2.80891985699001	19.0658272529941	4.10745890332906e-75	1.44582553397183e-72	1.25385587575308e-72	390429/26531/1258/442194/123041/26716/390082/81061/341418/5153/390883/81099/391109/26659/26648/401994/81448/138882/338674/138805/440153/127074/219417/7932/219487/1261/119682/389090/390152/390151/81797/79473/391192/5593/26737/391196/390174/26740/390323/26533/390083/283092/26246/10798/4991/219956/403282/138881/390144/390054/81696/219982/390261/79290/390168/341152/282775/442191/390260/119678/26245/390275/343173/391191/219958/126541/284433/219873/1260/390433/79334/390191/81327/390195/26476/219858/391112/121364/219447/283189/122740/135946/401666/119679/26692/125963/26497/442186/79317/283297/130075/79346/391107/119694/219464/26534/390431/390066/6543/254783/390063/391211/81469/26188/390157/219453/390078/441669/127608/26494/441639/390036/284521/120787/283111/347168/128371/120793/81472/390084/81466/120065/79544/390649/390075/5568/81697/283159/119765/219954/390059/79339/387748/23538/340980/390058/219957/26212/127062/26696/144125/390154/390190/127059/390436/81300/390081/390197/26707/346525/81127/390181/4992/441933/390327/127623/79490/401665/391194/128366/26735/403284/26219/390648/390061/81341/81442/162998/284532/254786/128368/390326/81309/26338/219436/57101/26341/254879/219968/341276/26532/254973/81392/127068/6546/196335/286365/219874/120776/120796/343170/390439/403274/8590/5137/390445/81285/144124/79295/8388/401667/346517/390072/390037/401427/26248/135924/390067/8387	209
Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	197/2385	282/7725	0.698581560283688	2.26270128016415	14.4359663534714	8.40035119177771e-43	1.47846180975288e-40	1.28215886611344e-40	2911/2567/2918/2915/1139/130576/4142/130574/2904/2903/2557/200959/2492/1131/2890/4988/3973/2555/2899/2560/64106/2554/2917/122042/2566/2358/2895/2834/1143/2562/4544/1814/2587/887/84109/2559/6019/2894/2914/59350/2692/4158/9340/55584/3827/2568/2742/55879/2900/797/8001/2891/2488/5618/165829/5645/5746/2565/1137/4922/6750/3361/2558/3360/2696/4986/1135/2912/6863/64111/5179/186/5368/5173/140/5340/727/57105/5644/5733/10886/1142/5646/3358/2556/10874/2916/8973/3062/1812/2569/553/2740/100169851/1129/6752/10888/1813/3350/5697/3352/2847/623/116/84539/2150/6866/1269/2901/6870/5739/624/5027/160065/2905/2913/4161/1081/59340/2902/9248/3269/2906/3375/796/148/6344/2641/1133/2357/399967/23566/155/5025/4829/3354/2846/2693/134/680/7433/399968/89832/53637/1268/2561/9568/9170/886/719/4985/10316/4889/2892/5617/1141/100506013/3952/3362/2147/135/3274/2563/5732/6753/53829/4923/4157/2550/5023/3355/56413/56923/2859/2741/79957/387129/3001/1136/5024/27334/5031/2359/150/4987/1511/3356/6869/3363/1138/8862/153/2925/6751/7201/116443/2570	197
NA	NA	hsa04082	Neuroactive ligand signaling	124/2385	179/7725	0.692737430167598	2.24377217947367	11.2513244677889	1.29945047554663e-26	1.52468855797472e-24	1.32224785231061e-24	6538/2911/2567/2918/2915/9152/114/1139/6570/2904/2903/2557/200959/9177/1131/2890/4988/246213/2555/2899/2560/2554/2917/2566/6511/1143/2562/1814/57084/10681/5582/2559/2914/1103/2568/55879/2900/8001/2891/2786/2565/1137/3361/2558/3360/6531/4986/2912/6530/6863/5179/5368/5173/140/3359/200909/60482/3358/2556/2916/8973/170572/1812/2569/6539/57030/1129/2792/1813/3350/3352/6866/2793/2901/6870/2905/2913/2902/3269/2906/148/5568/1133/5025/3354/134/5579/2775/89832/2561/9568/4985/6506/2892/6536/285242/1141/3362/135/3274/2563/53829/54331/2550/5023/3355/2741/2784/1136/6540/5024/5330/5031/150/4987/63910/6512/3356/6869/3363/153/6505/116443/2570	124
NA	NA	hsa04382	Cornified envelope formation	109/2385	173/7725	0.630057803468208	2.04075326280583	9.25197685675981	1.32074323284315e-18	1.16225404490198e-16	1.00793562506451e-16	338324/1830/286887/3852/3853/23581/126637/26154/5521/3857/3885/1828/285848/125115/3848/353288/374454/10686/204219/147409/126410/6700/3856/3855/3713/147183/196374/1823/29943/1041/25984/5522/121391/388698/5010/51350/319101/3891/3034/162605/242/3850/59344/6704/1832/3889/3849/342574/3851/390792/7062/9073/9333/3866/3872/3888/1308/3875/54474/2312/1294/51702/3882/338785/353238/6707/1364/9119/2125/57402/6703/7053/11187/353133/6701/100506658/192666/7051/3868/3860/23254/3886/79852/388697/144501/112802/55304/3918/6768/140807/6785/51208/149461/163778/3892/9076/6273/5317/3909/1366/6276/121214/10999/3859/3914/23562/1288/9075/3881	109
Human Diseases	Infectious disease: bacterial	hsa05150	Staphylococcus aureus infection	56/2385	72/7725	0.777777777777778	2.51921733053809	8.6549585691153	2.36486224165394e-16	1.66486301812438e-14	1.44381063174662e-14	2358/3857/3885/1828/125115/353288/2213/147183/25984/4153/162605/5340/727/342574/390792/3866/3872/3875/54474/2266/2209/3882/2214/2204/717/2357/192666/3120/3868/629/3860/3886/719/3117/3118/720/110384692/3684/3683/3111/713/3112/2359/3109/3689/6404/721/714/6403/3115/3859/3113/2212/3119/2215/3881	56
Human Diseases	Substance dependence	hsa05033	Nicotine addiction	37/2385	40/7725	0.925	2.99606918238994	8.45820769113557	3.67665393924797e-16	2.15697031102548e-14	1.87057831996827e-14	773/2567/1139/2904/2903/2557/200959/2890/246213/2555/2560/2554/2566/774/2562/57084/2559/2568/55879/2891/2565/1137/2558/2556/8973/2569/57030/2905/2902/2906/89832/2561/2892/1141/2563/116443/2570	37
Environmental Information Processing	Signaling molecules and interaction	hsa04060	Cytokine-cytokine receptor interaction	127/2385	229/7725	0.554585152838428	1.79629782208673	8.17472545319768	4.42251036649325e-15	2.22389092715089e-13	1.92861354328277e-13	9966/3568/3594/27177/26525/3604/6372/1234/8600/8792/392255/9173/3552/112744/149233/5618/4352/8740/3449/3593/8808/29949/1235/3592/27302/651/282618/944/7850/23495/8995/3596/943/655/4049/6359/338376/50615/6364/3578/1438/3598/132014/50604/56300/356/3559/8807/58985/8794/6374/3443/50616/6367/8809/6360/56477/55801/3557/3445/4982/3558/729230/53832/284340/3626/3441/7124/6351/10913/3605/3566/151449/920/5617/3952/10344/6357/6373/10563/8744/51561/1441/3553/3624/3560/3623/3576/3579/4804/1439/3627/3587/2919/8797/58191/6349/414062/3976/7292/85480/9560/388372/11009/2829/3577/3561/8718/3603/1236/652/958/2057/10850/269/64806/9466/146433/4050/133396/83729/959/115650/10220/939/6366/3569	127
Organismal Systems	Sensory system	hsa04742	Taste transduction	50/2385	75/7725	0.666666666666667	2.15932914046122	6.74219582179514	1.5935841769618e-10	7.01177037863193e-09	6.08078172788056e-09	773/2911/114/2557/9177/1131/40/2555/2554/6326/2559/2914/9033/5153/2558/6338/3359/200909/2556/170572/50833/10021/255022/6340/6337/3350/3352/50835/5568/3354/6335/9568/6328/259285/285242/954/8645/342372/50836/2550/3355/5137/50837/2784/5024/5330/353164/346562/775/259286	50
Organismal Systems	Immune system	hsa04610	Complement and coagulation cascades	51/2385	82/7725	0.621951219512195	2.01449608835711	6.1719168853811	4.11481577276385e-09	1.6093501689032e-07	1.39566850772107e-07	1378/1379/2244/731/81494/1380/84830/2243/3827/2158/732/2165/4153/730/5340/727/10877/5329/5055/623/2266/725/624/5345/717/735/729/629/719/2147/720/110384692/3684/5265/2160/2162/713/10878/1361/3078/3053/722/3689/3687/2155/721/714/5270/462/10544/11326	51
Environmental Information Processing	Signaling molecules and interaction	hsa04514	Cell adhesion molecule (CAM) interaction	77/2385	145/7725	0.531034482758621	1.72001734981566	5.84907318661621	1.63625395988035e-08	5.75961393877884e-07	4.99488050910845e-07	26047/114798/999/9369/9378/22854/1525/22871/4897/9379/10686/5010/1001/1493/3696/57689/9073/84628/26050/6900/120425/1364/941/923/57863/84189/940/29851/100506658/3120/942/22865/6693/6614/79679/4359/1000/3135/920/5792/3117/3118/1272/7412/54413/51208/149461/64101/84631/3684/9076/4684/3683/3111/6382/926/6402/3695/1366/933/3112/925/3109/3689/6404/3134/50848/57502/958/3897/6403/3115/3113/959/23562/3119/9075	77
