transcript_id	intModel	gene_id	gene_symbol	bicor	abs_bicor	direction	correlation_method
HERVK11D_5p13.2	HERVK11D-int	ENSG00000144406.18	UNC80	0.974769341077957	0.974769341077957	positive	bicor
HERVK11D_5p13.2	HERVK11D-int	ENSG00000164199.16	ADGRV1	0.97431302962616	0.97431302962616	positive	bicor
HERVH_1q42.12b	HERVH-int	ENSG00000181143.15	MUC16	0.970132647405194	0.970132647405194	positive	bicor
HERVH48_12q21.32	HERVH48-int	ENSG00000181143.15	MUC16	0.96986442247293	0.96986442247293	positive	bicor
HERVFH21_13q31.1	HERVFH21-int	ENSG00000181143.15	MUC16	0.968660294828193	0.968660294828193	positive	bicor
HERVK11D_6q22.31	HERVK11D-int	ENSG00000173597.8	SULT1B1	0.967772757568036	0.967772757568036	positive	bicor
HERVK11D_5p13.2	HERVK11D-int	ENSG00000113327.15	GABRG2	0.964745844604825	0.964745844604825	positive	bicor
HERVK11D_5p13.2	HERVK11D-int	ENSG00000009765.14	IYD	0.96466154980464	0.96466154980464	positive	bicor
HERVH_10q21.1e	HERVH-int	ENSG00000273079.5	GRIN2B	0.964570559789755	0.964570559789755	positive	bicor
HERVFH21_1q23.1	HERVFH21-int	ENSG00000181143.15	MUC16	0.964472517836187	0.964472517836187	positive	bicor
HERVK11D_12q12	HERVK11D-int	ENSG00000141665.11	FBXO15	0.964051768229869	0.964051768229869	positive	bicor
HERVK11D_5p13.2	HERVK11D-int	ENSG00000179869.14	ABCA13	0.963960340734001	0.963960340734001	positive	bicor
HERVK11D_12q12	HERVK11D-int	ENSG00000124721.17	DNAH8	0.963857460561884	0.963857460561884	positive	bicor
HERVFH21_3q25.1	HERVFH21-int	ENSG00000181143.15	MUC16	0.963838961833841	0.963838961833841	positive	bicor
HERVK11D_5p13.2	HERVK11D-int	ENSG00000144481.16	TRPM8	0.963305658072798	0.963305658072798	positive	bicor
HERVH_11p14.3d	HERVH-int	ENSG00000181143.15	MUC16	0.962680701074572	0.962680701074572	positive	bicor
HERVH_3q22.3a	HERVH-int	ENSG00000181143.15	MUC16	0.962460016947201	0.962460016947201	positive	bicor
HERVH_6q11.1a	HERVH-int	ENSG00000273079.5	GRIN2B	0.962432644656843	0.962432644656843	positive	bicor
HERVH_1q32.2c	HERVH-int	ENSG00000181143.15	MUC16	0.961981962084527	0.961981962084527	positive	bicor
HERVH_11p11.12	HERVH-int	ENSG00000273079.5	GRIN2B	0.961961541169306	0.961961541169306	positive	bicor
HERVK11D_12q12	HERVK11D-int	ENSG00000179869.14	ABCA13	0.96188926532016	0.96188926532016	positive	bicor
HERVK11D_5p13.2	HERVK11D-int	ENSG00000115423.18	DNAH6	0.961391863285528	0.961391863285528	positive	bicor
HERVK11D_12q12	HERVK11D-int	ENSG00000115423.18	DNAH6	0.961311651593996	0.961311651593996	positive	bicor
HERVK11D_12q12	HERVK11D-int	ENSG00000174469.19	CNTNAP2	0.961240895160651	0.961240895160651	positive	bicor
HERVK11D_5p13.2	HERVK11D-int	ENSG00000178965.13	ERICH3	0.960938576857903	0.960938576857903	positive	bicor
HERVH_14q32.2c	HERVH-int	ENSG00000181143.15	MUC16	0.960937916679249	0.960937916679249	positive	bicor
HERVH_13q33.2	HERVH-int	ENSG00000181143.15	MUC16	0.96089085029726	0.96089085029726	positive	bicor
HUERSP3_13q31.1	HUERS-P3-int	ENSG00000121446.18	RGSL1	0.960771371842012	0.960771371842012	positive	bicor
HERVH_8q21.2b	HERVH-int	ENSG00000273079.5	GRIN2B	0.960733883696848	0.960733883696848	positive	bicor
HERVK11D_5p13.2	HERVK11D-int	ENSG00000152208.12	GRID2	0.960615348337289	0.960615348337289	positive	bicor
HERVH_17q25.1a	HERVH-int	ENSG00000273079.5	GRIN2B	0.960593956490141	0.960593956490141	positive	bicor
