"gene","module"
"ENSG00000134184.13","grey"
"ENSG00000149968.12","brown"
"ENSG00000288777.1","grey"
"ENSG00000115221.12","blue"
"ENSG00000265142.9","blue"
"ENSG00000173432.13","black"
"ENSG00000134339.9","black"
"ENSG00000248746.6","yellow"
"ENSG00000133048.13","black"
"ENSG00000129170.10","blue"
"ENSG00000272021.1","brown"
"ENSG00000231806.4","blue"
"ENSG00000196136.18","black"
"ENSG00000236882.8","brown"
"ENSG00000145949.11","tan"
"ENSG00000124107.5","brown"
"ENSG00000128965.13","brown"
"ENSG00000174611.12","blue"
"ENSG00000214097.5","blue"
"ENSG00000289456.1","brown"
"ENSG00000188488.14","grey60"
"ENSG00000119508.18","orange"
"ENSG00000180875.5","yellow"
"ENSG00000133020.4","turquoise"
"ENSG00000172458.5","blue"
"ENSG00000137968.17","grey"
"ENSG00000278445.1","yellow"
"ENSG00000178055.13","blue"
"ENSG00000157087.20","blue"
"ENSG00000134240.12","yellow"
"ENSG00000214970.8","yellow"
"ENSG00000160808.11","yellow"
"ENSG00000116285.13","brown"
"ENSG00000141579.7","grey60"
"ENSG00000144644.15","blue"
"ENSG00000142178.9","grey"
"ENSG00000204460.3","yellow"
"ENSG00000149575.9","blue"
"ENSG00000235263.1","brown"
"ENSG00000170477.13","skyblue"
"ENSG00000075702.19","blue"
"ENSG00000189350.13","brown"
"ENSG00000164879.7","blue"
"ENSG00000235295.2","blue"
"ENSG00000148677.7","lightcyan"
"ENSG00000286619.1","grey"
"ENSG00000171401.15","skyblue"
"ENSG00000078814.18","blue"
"ENSG00000182177.15","blue"
"ENSG00000285155.1","blue"
"ENSG00000188933.16","grey"
"ENSG00000281344.1","black"
"ENSG00000112096.19","brown"
"ENSG00000185271.9","blue"
"ENSG00000096060.15","brown"
"ENSG00000227827.3","grey"
"ENSG00000273906.1","grey"
"ENSG00000123689.6","yellow"
"ENSG00000271959.1","turquoise"
"ENSG00000235070.3","blue"
"ENSG00000185847.9","yellow"
"ENSG00000156802.13","brown"
"ENSG00000223784.2","blue"
"ENSG00000204983.15","white"
"ENSG00000279668.3","yellow"
"ENSG00000226074.5","blue"
"ENSG00000275896.7","white"
"ENSG00000129173.13","blue"
"ENSG00000286651.2","blue"
"ENSG00000204099.12","grey60"
"ENSG00000283709.1","blue"
"ENSG00000129988.6","lightcyan"
"ENSG00000143127.13","brown"
"ENSG00000171885.18","yellow"
"ENSG00000166741.8","black"
"ENSG00000185105.5","blue"
"ENSG00000105664.11","darkgrey"
"ENSG00000170160.18","grey"
"ENSG00000188037.14","blue"
"ENSG00000164434.12","tan"
"ENSG00000270765.7","yellow"
"ENSG00000226094.1","blue"
"ENSG00000181016.9","blue"
"ENSG00000048052.24","blue"
"ENSG00000285774.4","blue"
"ENSG00000188257.12","green"
"ENSG00000149926.14","yellow"
"ENSG00000234438.5","blue"
"ENSG00000224614.2","brown"
"ENSG00000115112.8","brown"
"ENSG00000171388.12","blue"
"ENSG00000171246.6","grey"
"ENSG00000261175.6","yellow"
"ENSG00000116690.13","green"
"ENSG00000108551.5","brown"
"ENSG00000197299.13","brown"
"ENSG00000169885.10","yellow"
"ENSG00000133055.10","steelblue"
"ENSG00000236208.2","blue"
"ENSG00000237372.4","brown"
"ENSG00000111241.3","blue"
"ENSG00000141526.18","grey60"
"ENSG00000189221.11","brown"
"ENSG00000004799.8","brown"
"ENSG00000179796.12","grey"
"ENSG00000163395.17","grey"
"ENSG00000239388.9","blue"
"ENSG00000101542.10","brown"
"ENSG00000115386.6","white"
"ENSG00000226306.7","blue"
"ENSG00000165887.12","grey60"
"ENSG00000118298.12","yellow"
"ENSG00000041982.16","turquoise"
"ENSG00000142789.20","white"
"ENSG00000172824.16","brown"
"ENSG00000263934.5","blue"
"ENSG00000171819.5","darkgreen"
"ENSG00000250978.5","brown"
"ENSG00000113389.16","grey"
"ENSG00000109061.10","grey"
"ENSG00000100292.18","black"
"ENSG00000164418.22","grey60"
"ENSG00000205362.11","black"
"ENSG00000164588.8","yellow"
"ENSG00000243429.1","yellow"
"ENSG00000116771.6","yellow"
"ENSG00000236345.2","brown"
"ENSG00000139329.5","turquoise"
"ENSG00000142973.15","brown"
"ENSG00000159251.8","turquoise"
"ENSG00000184588.18","lightcyan"
"ENSG00000286452.1","blue"
"ENSG00000131095.14","lightyellow"
"ENSG00000108342.13","grey60"
"ENSG00000248514.1","blue"
"ENSG00000237927.1","brown"
"ENSG00000109321.11","black"
"ENSG00000174407.14","yellow"
"ENSG00000177752.15","blue"
"ENSG00000204792.2","grey"
"ENSG00000225613.2","blue"
"ENSG00000138356.14","brown"
"ENSG00000188086.15","blue"
"ENSG00000286689.1","blue"
"ENSG00000215483.12","brown"
"ENSG00000125414.19","yellow"
