"gene","module","MM_MEdarkred","MM_MEsalmon","MM_MEgrey60","MM_MEtan","MM_MEviolet","MM_MEbrown","MM_MEred","MM_MEorange","MM_MEblue","MM_MEyellow","MM_MElightgreen","MM_MEpurple","MM_MEdarkgreen","MM_MElightyellow","MM_MElightcyan","MM_MEblack","MM_MEpink","MM_MEgreenyellow","MM_MEmidnightblue","MM_MEdarkorange","MM_MEdarkturquoise","MM_MEsteelblue","MM_MEdarkgrey","MM_MEturquoise","MM_MEsaddlebrown","MM_MEcyan","MM_MEgreen","MM_MEmagenta","MM_MEpaleturquoise","MM_MEwhite","MM_MEroyalblue","MM_MEskyblue","MM_MEgrey","p.MM_MEdarkred","p.MM_MEsalmon","p.MM_MEgrey60","p.MM_MEtan","p.MM_MEviolet","p.MM_MEbrown","p.MM_MEred","p.MM_MEorange","p.MM_MEblue","p.MM_MEyellow","p.MM_MElightgreen","p.MM_MEpurple","p.MM_MEdarkgreen","p.MM_MElightyellow","p.MM_MElightcyan","p.MM_MEblack","p.MM_MEpink","p.MM_MEgreenyellow","p.MM_MEmidnightblue","p.MM_MEdarkorange","p.MM_MEdarkturquoise","p.MM_MEsteelblue","p.MM_MEdarkgrey","p.MM_MEturquoise","p.MM_MEsaddlebrown","p.MM_MEcyan","p.MM_MEgreen","p.MM_MEmagenta","p.MM_MEpaleturquoise","p.MM_MEwhite","p.MM_MEroyalblue","p.MM_MEskyblue","p.MM_MEgrey","GS_AGE","p.GS_AGE","target_module"
"ENSG00000213903.9","greenyellow",-0.294768570502905,0.122886947433366,-0.284386544557746,-0.747592307675163,-0.174784433309321,-0.157557595481679,-0.487191539922636,0.055019974807668,0.138612628166001,-0.350689625872217,0.4399490802667,0.527881292361801,0.155628415496034,0.1954275282488,0.285076606467295,0.468747939636329,0.555823102201094,0.888690328216118,0.447868428462584,0.277754205986766,0.269557382217522,0.37626240603495,0.0734423454901668,0.445222209454002,0.16025060008211,0.237012582249222,0.392979868533452,0.0115035505365863,0.188089131332704,0.0403682548226558,0.143703599897104,0.110083032528633,0.629467417280904,7.32458680526453e-18,0.000427275366702187,1.10384240698029e-16,3.50998311275966e-147,4.90271732089223e-07,5.96362753888011e-06,5.5460580986817e-50,0.115859074409717,6.96226588170997e-05,4.41120744047515e-25,4.81761240378759e-40,6.97457506489293e-60,7.76557996268808e-06,1.74815327956437e-08,9.24934306182804e-17,6.46099557893964e-46,1.668968735848e-67,1.43246141206272e-278,1.32912519791964e-41,5.89062905932706e-16,4.38594700358542e-15,6.57963257026859e-29,0.0357176683285365,4.45831187105061e-41,4.10351494416008e-06,6.58287820568453e-12,1.33379443565693e-31,0.742520535414946,5.96999883015617e-08,0.248801679623338,3.70465437538716e-05,0.0016147729450154,1.7457972384895e-91,0.316660153159902,1.65115303499224e-20,"greenyellow"
"ENSG00000204410.16","greenyellow",-0.252039819456953,0.310380831213553,-0.500676099124962,-0.795231351031641,-0.254955399432768,-0.330308017139894,-0.428813415852176,-0.0572456695269669,0.293334325816904,-0.292087992621517,0.585991575010236,0.4325213925208,0.228222082185288,0.151283523902242,0.251547630565252,0.270237339107671,0.46829708528092,0.799085901683392,0.569755896354776,0.294382870535662,0.330081095137498,0.371454490823755,0.0946779952013069,0.552325854952757,0.259252945204876,0.278133618019378,0.382503313734529,-0.0647357791193333,0.173161845036605,-0.0162450004578686,0.0608820328417728,0.0266905588653072,0.761255647826447,2.55629153324999e-13,1.00004389706051e-19,4.0730051284843e-53,1.66642971166945e-179,1.3270265616319e-13,2.83368909517389e-22,6.40919430476103e-38,0.1018177582486,1.07263041125557e-17,1.49159112181558e-17,1.37899794276829e-76,1.28329390122361e-38,3.9836465329419e-11,1.39129411189275e-05,2.85312634685931e-13,3.72269589313535e-15,8.06539097772338e-46,1.70801665128809e-182,1.39435036747905e-71,8.11758792109627e-18,3.03701604215871e-22,3.66603653502373e-28,0.00673227286355158,1.64469803668567e-66,4.97261768748992e-14,5.35902637113466e-16,6.77662608816482e-30,0.06422731003248,6.27149146714649e-07,0.642691811260207,0.081820311795144,0.445858823667738,1.13839552841298e-155,0.29775185006286,3.2898290728677e-18,"greenyellow"
"ENSG00000140688.17","greenyellow",-0.50455089318723,0.059129417135954,-0.420716941474168,-0.843257475065937,-0.349578644970989,-0.379731873109715,-0.529054886923183,0.0674643834457372,0.354228791348374,-0.198387808435918,0.547315554685808,0.555432466716656,0.283831194540507,0.185503447035993,0.279020238696292,0.2062573418649,0.413677314262517,0.79551634473466,0.416473140193977,0.241380785084784,0.343472861231917,0.290759528367899,0.151690816885074,0.579112179460951,0.147498267291644,0.238645062668188,0.358289449737241,-0.0428741500132404,0.18340526502394,0.0660057090314376,0.0707636471767877,0.0548624105784406,0.69774865868571,4.82099268853247e-54,0.0910211692504608,2.00483747663782e-36,3.27420535182712e-222,6.35364887897366e-25,1.87088480634305e-29,3.44826549199855e-60,0.0537587080893061,1.36617868278815e-25,1.05076728236972e-08,4.16171614041008e-65,2.1578488152758e-67,1.27220243617219e-16,9.09865445175931e-08,4.29388038909399e-16,2.61314593050944e-09,3.71070300886835e-35,1.0068716859826e-179,1.17411931171254e-35,2.61841405538364e-12,4.59908857113241e-24,2.11596221458763e-17,1.31817455603749e-05,1.97026552675504e-74,2.28258631598055e-05,4.67426173268385e-12,3.49501896320123e-26,0.220605817170918,1.27525240764959e-07,0.0591629193832442,0.043038950442785,0.116908021657483,2.40044250256769e-120,0.284997183241554,9.43975430082151e-17,"greenyellow"
"ENSG00000170919.16","greenyellow",0.0145390276417554,0.51702583215364,-0.495657764367945,-0.760262437282167,-0.039785369894483,-0.224916365574607,-0.391816469362546,-0.166270072140698,0.168518970191037,-0.44996098073604,0.574565379289915,0.256232545369895,0.251607513881188,0.208457226344626,0.370113127510627,0.39896945216625,0.603056163963712,0.792252435253589,0.674974826655719,0.299306589117373,0.40394550189277,0.450196456893522,0.21086906090622,0.610483600279798,0.214630166956533,0.332859305715971,0.504772812950234,-0.0054253883946262,0.212540648030089,0.00195542086637559,0.0515809482029883,0.00122326893272483,0.767031634334973,0.677986404059603,4.14088393801712e-57,6.2037321996562e-52,4.92631988648924e-155,0.255705801100608,7.69365524188809e-11,2.07770144759637e-31,1.74001365219867e-06,1.25281949158673e-06,5.06575841748878e-42,4.90806944577334e-73,9.93154775328355e-14,2.81528041966511e-13,1.75334893423671e-09,5.88966029336668e-28,1.32376433682266e-32,3.67470783876074e-82,3.07831627211352e-177,7.47407864053064e-110,2.1597075295306e-18,1.87298869103494e-33,4.54276502323956e-42,1.12635888798435e-09,1.07665582276994e-84,5.58926669636886e-10,1.29494131426485e-22,4.26281017000177e-54,0.87687354029573,8.26264257511955e-10,0.955468524136259,0.140487913003281,0.972133278826664,1.96616150809846e-159,0.278580021432576,4.79375448636444e-16,"greenyellow"
"ENSG00000160781.17","greenyellow",-0.285584318042087,0.113835032416629,-0.303201141113402,-0.699279917513056,-0.19185861334745,-0.218303380706179,-0.500623419851298,0.0961072930587866,0.207367029492717,-0.26121420954741,0.371587986714018,0.420207586979281,0.354406245275285,0.440736383406354,0.31538063350804,0.354676495419128,0.468087011165354,0.789742726269373,0.422767884140224,0.266776730223986,0.263649745759645,0.301035416857392,0.0717817921400264,0.44831773899746,0.124558828604203,0.196316298155925,0.315680552545424,0.0654691563847291,0.165262154482841,0.0113464869043313,0.11480042777999,0.063734019720213,0.578121518171405,8.11842401932469e-17,0.00110867536759688,7.4411492139415e-19,4.35631550782647e-121,3.19583774261178e-08,2.78415960476041e-10,4.19211325955703e-53,0.00594313212865925,2.13789900614086e-09,3.15797884398765e-14,3.49665405439785e-28,2.4819545215448e-36,1.2876957226054e-25,3.38573399689766e-40,2.39166551051545e-20,1.17666085556567e-25,8.94250321533661e-46,2.33961077449166e-175,8.45562654426127e-37,8.53410985946225e-15,1.78750783331931e-14,1.34846794847035e-18,0.040119325835317,1.08108832301525e-41,0.00035570617168462,1.50163478752747e-08,2.19307007996388e-20,0.0612607808108482,2.01316985979906e-06,0.745914079552007,0.00100461185609304,0.068469765424796,3.9869474112456e-74,0.307971881862338,1.97315090909419e-19,"greenyellow"
"ENSG00000138834.15","greenyellow",-0.0712849198754019,0.325165441696378,-0.342017493900523,-0.685727487453401,-0.133312378487395,-0.112245262998627,-0.43111700870991,0.0510383082453282,0.10027465407602,-0.380868747756503,0.318358762909115,0.154503290163724,0.149452994523227,0.150743611503247,0.346866118577226,0.485827445443641,0.600539106756718,0.789337404736131,0.586325025751755,0.221716746876449,0.201079142775964,0.277855095845624,0.0461782167609305,0.407818580925907,0.0834058567091001,0.179138973963054,0.370206201083509,-0.0694588359465232,0.13737119920302,0.00705275380112142,0.0367455813334846,0.0280388290645649,0.518624472293408,0.0415225038292256,1.3433315633151e-21,7.32460068269684e-24,1.09514297419984e-114,0.000131262398564133,0.00130194564481864,2.36533774926757e-38,0.144716630683842,0.00409462901997716,1.23493408127627e-29,1.00684069224775e-20,9.04515602196649e-06,1.77030110192926e-05,1.49419040074913e-05,1.53911433882884e-24,1.13058472448956e-49,2.56231439921015e-81,4.68257039703147e-175,1.08092845339043e-76,1.44075341672482e-10,6.56983707911835e-09,5.74440957515091e-16,0.187030897583964,3.99459291554099e-34,0.0170338441974928,2.50349027228423e-07,5.69947881797944e-28,0.0470408359459352,8.09382040250836e-05,0.840379766411675,0.293857568257577,0.423211964154498,1.64026369188521e-57,0.319714101082891,6.76950188275717e-21,"greenyellow"
"ENSG00000108474.17","greenyellow",-0.306127471181047,0.00701328129716257,-0.255777045269695,-0.593472650381948,-0.192665783369285,-0.105039811363288,-0.428015291282939,0.0116812324083974,0.0917739680562295,-0.370396673854006,0.334587538569177,0.46282783014066,0.120427266717429,0.131466794173387,0.142517864401855,0.409769723631976,0.465437708293994,0.786807365936996,0.411494865472429,0.180931163107049,0.19005122895346,0.276512680446521,0.0946547291626989,0.378309178273646,0.0825296049915267,0.171097400300992,0.399691672735347,-0.0658961532145487,0.110234266330445,-0.0470877406831606,0.0103923598570586,-0.0233337123088152,0.526989052610485,3.30592850355174e-19,0.841261228200727,1.10150432571311e-13,5.45529431748916e-79,2.79099533692674e-08,0.00263022744173696,9.03682014455106e-38,0.738687526326602,0.00863110709799557,5.32902671240514e-28,7.58647193723671e-23,1.1581300633987e-44,0.0005572606195955,0.000162810111200632,4.29931744134468e-05,1.81991877472206e-34,3.2673805403246e-45,3.43984366175401e-173,9.04254860168722e-35,1.88941088200384e-07,4.31909657215313e-08,8.01910174937201e-16,0.00674586161457448,3.13908225322819e-29,0.0182344165861991,8.55053732952344e-07,9.98712272094203e-33,0.0595863657081911,0.00159082658257421,0.178486660482541,0.76663275512666,0.505135844184242,1.18930568433625e-59,0.236193281345372,7.80963474760311e-12,"greenyellow"
"ENSG00000184441.4","greenyellow",-0.215595297894094,0.271926322599135,-0.389137041256553,-0.766478025028687,-0.151198381791491,-0.251448356246605,-0.472913202916734,-0.00422735118353344,0.224353331198462,-0.309473287449198,0.462409173153373,0.340249549400286,0.260561258123396,0.192797898667121,0.351613680827816,0.357182164459866,0.55010302459221,0.769114031351228,0.584522931556189,0.215281422392377,0.305505792686005,0.35849257172606,0.170122826112977,0.561604360152331,0.149257381945575,0.291750519684845,0.423647590390219,-0.108974244308272,0.149037362647317,0.0118169361666115,0.0440281072566822,0.0176288470391109,0.648864777224302,4.65965884384847e-10,2.47235242611599e-15,5.72793012814835e-31,4.56011539567487e-159,1.40705975644243e-05,2.91696884193815e-13,8.19498346725118e-47,0.903912142260151,8.59759843042613e-11,1.29279803135312e-19,1.41733224123983e-44,1.28489805741222e-23,3.67482992502165e-14,2.72964848991905e-08,3.25290075688913e-25,5.07864101999312e-26,6.94299399689e-66,8.13166451244929e-161,4.0173805909372e-76,4.94409955582325e-10,3.93080250883463e-19,3.26293025360661e-26,9.88529755269414e-07,3.57915167169493e-69,1.81616635885218e-05,1.63043194279524e-17,5.82816699773464e-37,0.00180070814476119,1.86910407641046e-05,0.735764436190244,0.208421029241196,0.614637057243523,6.28247775967944e-99,0.282411238071631,1.82623619006237e-16,"greenyellow"
"ENSG00000163257.11","greenyellow",-0.548453174692225,-0.147193415570049,-0.388294508785446,-0.646790315287105,-0.292031153437966,-0.225891558616577,-0.591450372427351,0.183890525982359,0.227664722203087,-0.248075109359119,0.332778850900655,0.490645011772002,0.12771677050142,0.177399021893584,0.3017789968584,0.349664433462943,0.43336423555448,0.763457672264191,0.391407267846969,0.153100503752915,0.195878766374501,0.191880703153933,0.0496277952138477,0.389981545115536,-0.0103099944372618,0.0688123793951275,0.21957389036971,0.0319022289417113,0.178105681818952,0.0287019159854193,0.0532880147166643,0.0371115907413487,0.470651888058886,2.00794521539898e-65,2.37419561140592e-05,7.86404169968275e-31,4.1705516658426e-98,1.51413139636329e-17,6.34260478388298e-11,2.4690696498527e-78,1.17987518255949e-07,4.45439151351842e-11,6.15209579883871e-13,1.32746849918279e-22,9.00766205499353e-51,0.000250048314329513,3.28123691499565e-07,1.10010777603715e-18,6.1774503583147e-25,8.87861576916048e-39,4.31073706695747e-157,2.42720345802831e-31,1.09233450951235e-05,1.61845719425319e-08,3.18403762831972e-08,0.156163612945985,4.16510368880425e-31,0.768429377670174,0.0491365334594668,2.18146970978667e-10,0.362156956838569,2.94074990729918e-07,0.412325308040019,0.127802256569254,0.28907201962019,2.52305743595222e-46,0.278633277082324,4.73036431567516e-16,"greenyellow"
"ENSG00000127415.13","greenyellow",-0.189202299355154,0.240228953883951,-0.409526736410105,-0.748127042400281,-0.0986608785802933,-0.31180653824102,-0.419417505418009,-0.0515892236569555,0.264428718730051,-0.248509867049696,0.435749838368576,0.422955517068988,0.245875846418305,0.167242251440465,0.341492962027978,0.296868179290696,0.554196726434722,0.760869863996727,0.480196888807134,0.286416547660023,0.395781272622194,0.531472481741149,0.24499571367759,0.627909778884316,0.217583388765281,0.347223497141384,0.444109357478473,-0.0702663158981697,0.180347301055977,0.0432281720562585,0.091019407087355,0.0816224986058767,0.692756649537361,4.9704896147418e-08,3.3448814054399e-12,2.00767957923951e-34,1.67270500773308e-147,0.00473768490805517,6.66891380961529e-20,3.45376747893368e-36,0.140424165877361,1.48818298444767e-14,5.59142195631789e-13,3.11228418131561e-39,7.81115425758209e-37,9.948124699134e-13,1.51046871675693e-06,8.65696454429061e-24,4.17410853711075e-18,4.85288013482371e-67,2.01273917826845e-155,2.06728448019612e-48,6.55208317711815e-17,4.55413201099204e-32,8.00972530929312e-61,1.20420501804442e-12,6.56019723678598e-91,3.19480908375782e-10,1.37044235677093e-24,7.3931760820659e-41,0.0445290405182015,2.07146325886254e-07,0.216814623949883,0.00919692056845365,0.0195545295854927,5.81075099308618e-118,0.312462562270084,5.53049973110178e-20,"greenyellow"
