"gene","module","MM_MEdarkred","MM_MEsalmon","MM_MEgrey60","MM_MEtan","MM_MEviolet","MM_MEbrown","MM_MEred","MM_MEorange","MM_MEblue","MM_MEyellow","MM_MElightgreen","MM_MEpurple","MM_MEdarkgreen","MM_MElightyellow","MM_MElightcyan","MM_MEblack","MM_MEpink","MM_MEgreenyellow","MM_MEmidnightblue","MM_MEdarkorange","MM_MEdarkturquoise","MM_MEsteelblue","MM_MEdarkgrey","MM_MEturquoise","MM_MEsaddlebrown","MM_MEcyan","MM_MEgreen","MM_MEmagenta","MM_MEpaleturquoise","MM_MEwhite","MM_MEroyalblue","MM_MEskyblue","MM_MEgrey","p.MM_MEdarkred","p.MM_MEsalmon","p.MM_MEgrey60","p.MM_MEtan","p.MM_MEviolet","p.MM_MEbrown","p.MM_MEred","p.MM_MEorange","p.MM_MEblue","p.MM_MEyellow","p.MM_MElightgreen","p.MM_MEpurple","p.MM_MEdarkgreen","p.MM_MElightyellow","p.MM_MElightcyan","p.MM_MEblack","p.MM_MEpink","p.MM_MEgreenyellow","p.MM_MEmidnightblue","p.MM_MEdarkorange","p.MM_MEdarkturquoise","p.MM_MEsteelblue","p.MM_MEdarkgrey","p.MM_MEturquoise","p.MM_MEsaddlebrown","p.MM_MEcyan","p.MM_MEgreen","p.MM_MEmagenta","p.MM_MEpaleturquoise","p.MM_MEwhite","p.MM_MEroyalblue","p.MM_MEskyblue","p.MM_MEgrey","GS_AGE","p.GS_AGE"
"ENSG00000164077.15","red",0.495236824322233,0.157004178744549,0.353978526609274,0.642177977096056,0.436521169977773,0.518371005651743,0.855685252326261,-0.444045230174978,-0.491299864236613,0.00252504732100935,-0.107484544687841,-0.308498259090304,-0.245139423207545,-0.237448256634914,-0.409671132064207,-0.0899690922104947,-0.426915313973707,-0.679242306797827,-0.452355132877528,-0.167083878069201,-0.335026520642703,-0.122908816389554,-0.238355545864611,-0.599518213781779,-0.0626730010378175,-0.151795084044565,-0.275410251105459,-0.047372896996666,-0.177669889998335,-0.0350002343601163,-0.0926107427694973,-0.049439387063897,-0.50066545573074,7.77984062107137e-52,6.43492618091245e-06,1.48496625219924e-25,2.66175259453666e-96,2.21360812293353e-39,1.9003020896835e-57,1.15341718741094e-235,7.61139120820474e-41,6.36663161043353e-51,0.942516119965044,0.0020814731543018,1.70177546366424e-19,1.16728494125945e-12,6.00949628611133e-12,1.89390550522196e-34,0.0100394759909315,1.44879433553711e-37,9.54602734398466e-112,1.6663090842302e-42,1.54576984194435e-06,6.61944009450508e-23,0.000426258223400262,4.96781730519797e-12,5.60502686791951e-81,0.0732111686159908,1.30005281141826e-05,1.05319721236969e-15,0.175868469366684,3.14646096272797e-07,0.317404041477007,0.0080401436443281,0.157743152233767,4.0967956114733e-53,-0.365131503853538,3.35969321162778e-27
"ENSG00000196182.11","red",0.532283505887639,0.0775285806665979,0.336074866484297,0.703427545173719,0.626170847642938,0.688657113711735,0.849018504913765,-0.512851032894426,-0.677795165916203,-0.221268898318866,-0.209412027480039,-0.313489383725096,-0.259982804301727,-0.207307595234782,-0.32565575139572,0.144277013845311,-0.255221896124508,-0.595061256848255,-0.419449260443853,-0.177863002062266,-0.34929027683375,-0.128286425604416,-0.237737659261446,-0.617478492944729,-0.0607041196675031,-0.0779781708152496,-0.193775929805411,-0.0362665097062384,-0.112663191629953,-0.0478320750132149,-0.0978304982455413,-0.0532016726028023,-0.580067076884106,4.89537066335181e-61,0.0266013049744887,4.7754285323182e-23,4.05162339502052e-123,2.85035761272279e-90,4.8504729333701e-116,2.68999154993754e-228,4.54297137738607e-56,4.22284492303005e-111,1.57179260699111e-10,1.47251192623053e-09,4.12208838030675e-20,4.20147355294463e-14,2.16106896944905e-09,1.15958872156983e-21,3.44588167131056e-05,1.24932018022394e-13,1.65367244577443e-79,3.40826163429225e-36,3.05364861689099e-07,6.98314929942417e-25,0.000234443293552858,5.65593778184683e-12,3.83872394305036e-87,0.0827185461183098,0.0257330798354161,2.31441625259501e-08,0.300201113583589,0.00124833472256751,0.171712727139677,0.00510294982877815,0.128421772319106,9.96474458949048e-75,-0.347471820845285,1.26413967893366e-24
"ENSG00000168000.16","red",0.468009527320679,0.158066135319464,0.31551651739985,0.573386141190721,0.323502449801185,0.471525130247141,0.842055862327795,-0.448529990005397,-0.47281477001236,-0.0317833809239021,-0.054381350918031,-0.234543224974759,-0.216538140397365,-0.200229866001567,-0.469500725617399,-0.098799514656264,-0.412134247849981,-0.598956286563921,-0.432563423323658,-0.107603998026594,-0.317565647982039,-0.137863341716403,-0.177608617641687,-0.544213381538198,0.00888918533950264,-0.069038816986469,-0.186965140638488,-0.0164418878796807,-0.139321154662321,-0.0199373862962033,-0.0673856196757603,-0.0186395453742536,-0.413914977220793,9.28940098194716e-46,5.55976856462486e-06,2.29958071073161e-20,1.12075773610283e-72,2.20787162489356e-21,1.63593147900666e-46,5.66730955884762e-221,9.80479860789259e-42,8.60761740803891e-47,0.363948911117085,0.120156662979878,1.09965783475055e-11,3.89778831916908e-10,7.62463676793591e-09,4.45804299714531e-46,0.00467905706829216,6.97039534408324e-35,8.61332538585487e-81,1.25996623474106e-38,0.00205756217823727,1.26893507963258e-20,7.62591207764936e-05,3.17647322807359e-07,2.99394541042383e-64,0.799609006432721,0.0483937341093536,7.1753008642948e-08,0.638667886638899,6.38520943062213e-05,0.569079420605442,0.0540396279139361,0.594493953550798,3.36634166347377e-35,-0.32331731435471,2.33299664871913e-21
"ENSG00000101084.19","red",0.336447026802928,-0.0942588772051516,0.474666206142846,0.71472818465461,0.411994657526935,0.543539498453795,0.828274488013281,-0.397520287493431,-0.531584501582409,0.0247098813472297,-0.165426281650285,-0.0485874386111591,-0.264805202050582,-0.216017137209204,-0.461298185527016,-0.0534982157119334,-0.438316952311153,-0.618883087529159,-0.564260215453919,-0.164228142682357,-0.345739408122972,-0.143252993031654,-0.238766081113282,-0.651488440893152,-0.0612839593794495,-0.145904034723453,-0.302971994396718,-0.0371951579230189,-0.143330999850025,-0.0410665961099957,-0.0693694513088287,-0.0152316324790778,-0.540470585207781,4.25146929999848e-23,0.00698086444509931,3.40742438779179e-47,7.73763354578277e-129,7.37829169426915e-35,4.58375626244631e-64,1.79078045075048e-207,2.32510237983243e-32,7.48371723885387e-61,0.480345528270199,1.96604764790054e-06,0.165036665847945,1.36174263878193e-14,4.30236826428267e-10,2.41907540773031e-44,0.126303737035936,9.97935845481391e-40,1.2166758543525e-87,5.97212094739854e-70,2.33590352064964e-06,2.21703943151642e-24,3.92081783060905e-05,4.55664833917039e-12,5.61267777022833e-100,0.0798201586018417,2.80171103667373e-05,7.92614821430188e-19,0.287986775380735,3.88256082232506e-05,0.240702692134044,0.047326056212404,0.663566489297567,3.15019077651887e-63,-0.341661370471259,8.20497687515503e-24
"ENSG00000204560.10","red",0.280929225045845,-0.0865416207553171,0.453767904312591,0.563112351100736,0.390186496200718,0.822307162957984,0.823277353345095,-0.500203077057137,-0.791080721628394,-0.365226847811811,-0.0834281213794011,-0.109061430716973,-0.304977266452813,-0.219760447488686,-0.580173753112519,0.277041095026666,-0.279406058600491,-0.405629034596664,-0.483698282918398,-0.128918728763964,-0.475390358743941,-0.179311884885551,-0.341049457518658,-0.722717237418526,-0.0880568530497425,-0.111398012913899,-0.0673084497823737,-0.0218974066068685,-0.109552824229826,-0.0353373810699045,-0.121665500165889,-0.0417637236818236,-0.535484889817684,2.65740791846898e-16,0.0132858917218041,8.60991813965576e-43,1.29746393868082e-69,3.85464025090933e-31,5.36546606978934e-202,7.1334756041836e-203,5.27521065164326e-53,2.3423092402379e-176,3.25050443833881e-27,0.0170042628203162,0.00178540534013024,4.55261474523878e-19,2.1044469172799e-10,9.23275395813111e-75,7.03382734275272e-16,3.89819125667824e-16,9.59237625719694e-34,3.41448151535806e-49,0.000218192375423667,2.3677784273662e-47,2.43672927249218e-07,9.96843818298739e-24,4.72446794288193e-133,0.0117510947743145,0.00141719392691182,0.0543160479901914,0.531709596116022,0.00170136575699407,0.312761950654348,0.000487814028920534,0.232804475035437,6.91869491833298e-62,-0.297024149737693,4.00259003070904e-18
"ENSG00000159461.15","red",0.443483985073644,-0.095557472091555,0.522677973341165,0.783873436638631,0.443077681161655,0.717606614494461,0.822654727713528,-0.410163276854064,-0.685711093718257,-0.169158482978493,-0.277462367444522,-0.228539700637936,-0.300942270972057,-0.221069716320899,-0.55529655516389,0.0782184557615862,-0.39083461777182,-0.606327640273986,-0.550718862562517,-0.188992608512583,-0.43379444560367,-0.220197158549856,-0.250993582422857,-0.723306626572944,-0.0957822407429663,-0.130286355006152,-0.171261083106256,-0.00102585444697546,-0.149800201171725,-0.0441752394351948,-0.0895727788904489,-0.0383173916660749,-0.638231721428122,9.8155242745407e-41,0.00623627934829848,1.53284901032905e-58,4.66482658896602e-171,1.17962168559334e-40,2.43832844783155e-130,2.60790658426143e-202,1.55207196099149e-34,1.11429650509017e-114,1.14018303286938e-06,6.33451260786307e-16,3.73750273284289e-11,1.38323777738468e-18,1.63374172883777e-10,2.35941988795272e-67,0.0252791660789757,3.01606508192144e-31,2.86893584704244e-83,4.66372460166748e-66,5.14547395618898e-08,7.35381339146674e-39,1.93436744045218e-10,3.22779034860391e-13,2.27810620769431e-133,0.00611490466411338,0.000186584664068721,8.34407207561244e-07,0.976629078934291,1.69159184865776e-05,0.206903145018269,0.0103748065754508,0.273678613038176,8.81021950922999e-95,-0.338535050639144,2.20838768680363e-23
"ENSG00000174516.15","red",0.439763966657224,0.0947120476837518,0.233902570391064,0.564826115171754,0.350804504458618,0.62151658561318,0.820835652416531,-0.547034666275649,-0.60738451603978,-0.27677917923014,-0.0310517126662313,-0.102503687678005,-0.266482550359751,-0.181844291858367,-0.532208875999438,0.127408846956209,-0.321015227169425,-0.400015761565543,-0.401117688356911,-0.133476628575332,-0.27952561159439,-0.106638411364742,-0.262385436013082,-0.598219325660396,-0.0968134038726988,-0.096494774936386,-0.14128738605972,-0.0335636082799247,-0.108084229063166,-0.0646517452003759,-0.0936247269738725,-0.0514922337980705,-0.416919998177794,5.23346705585898e-40,0.00671242846234803,1.2550514348906e-11,4.06927126775671e-70,4.24752070163598e-25,1.38904068595844e-88,1.11831484781394e-200,4.98009060192386e-65,1.25075948350442e-83,7.50632306997075e-16,0.375102318630977,0.00333625174246595,9.15263866770853e-15,1.63525532976245e-07,5.12255372620049e-61,0.000258883231874885,4.61549219770383e-21,8.79892851161836e-33,5.71391166870946e-33,0.000128752838503794,3.78302648444856e-16,0.00225826124792938,2.40364832074564e-14,1.51121352279094e-80,0.00558485928246133,0.00574404778164037,5.01135091137655e-05,0.337687294889329,0.00196395106459772,0.0645746645136972,0.00737265913650608,0.14117269031123,9.75887220098163e-36,-0.271654124380114,2.64143987148101e-15
"ENSG00000126243.9","red",0.553671450717047,0.112099569787392,0.399513565085523,0.605525748168971,0.632147640000024,0.701214255466311,0.819547804643716,-0.545777116623982,-0.702518015942208,-0.287339385942912,-0.155108278925294,-0.340743524220149,-0.24689587947714,-0.196337425948791,-0.370123955998572,0.156507750475109,-0.223141441042721,-0.558213490548277,-0.423214084957995,-0.140489083263776,-0.291244297461009,-0.117336895813306,-0.235437557129056,-0.557717997194467,0.0212522561524351,-0.0178699177057183,-0.0393120879422929,-0.0240490432529252,-0.0629094902687391,-0.0153853462116866,-0.0856412527925942,-0.0248117942551814,-0.496489076830322,6.84177663762887e-67,0.00132112796124789,1.07064705050987e-32,5.37500537303941e-83,1.75795789873831e-92,4.96671919395968e-122,1.55951545050913e-199,1.11015733652384e-64,1.13798006956497e-122,5.161632663349e-17,8.33402612745362e-06,1.09857104414886e-23,7.96505831175109e-13,1.49620560546568e-08,5.86721495802585e-28,6.8877782498231e-06,1.09089803710422e-10,3.43934501690555e-68,7.00216726842411e-37,5.53149572744331e-05,1.86288641679556e-17,0.00077266205142529,9.13778602168525e-12,4.77667887577347e-68,0.543871849672954,0.609805344048256,0.26140861480347,0.492166552751692,0.0721317809794637,0.660382757746747,0.0142793999087954,0.478536364474201,3.96353643823855e-52,-0.291055642976653,1.95761906628199e-17
"ENSG00000115216.14","red",0.449636652805747,-0.0425666460467823,0.345278194785934,0.730821593238077,0.462259846425169,0.552678463546106,0.812840998659954,-0.447016787494202,-0.543042524268,-0.0712355294132435,-0.236091832966715,-0.21288398084428,-0.287080918748773,-0.270685246554836,-0.47389870799,-0.0520535759227075,-0.439468381985565,-0.618578016698998,-0.570236553232715,-0.173542407343572,-0.313536144105698,-0.108612310813422,-0.224512618045637,-0.623103412130632,-0.0765159105325998,-0.139026928193364,-0.273867623199455,-0.0680977438091947,-0.1370986426959,-0.0461581508644641,-0.115109959597117,-0.054920708213942,-0.568249503057795,5.88524845749227e-42,0.223937164730389,2.57317543257581e-24,1.75807750106033e-137,1.52309926005354e-44,1.30748269625939e-66,1.01957939969233e-193,1.96439240312635e-41,6.27147666785777e-64,0.0416642230413537,7.97629039117112e-12,7.75075722199341e-10,5.51873787134859e-17,3.34073334223024e-15,5.00680651323152e-47,0.13688264972061,5.97254883123366e-40,1.56233051719355e-87,1.00044040634238e-71,5.92078765566894e-07,4.06717145081718e-20,0.00186552923862393,8.3318503302097e-11,3.71941806896436e-89,0.0286498845616998,6.61912837110972e-05,1.53909130981315e-15,0.0515437050039453,8.36447931206595e-05,0.187222741917305,0.000973206818591708,0.116519054455549,3.93280609742802e-71,-0.338100573982726,2.53189684351754e-23
"ENSG00000196072.12","red",0.302755205550719,-0.0815237927312391,0.382984546075802,0.56011047175041,0.539698623828519,0.715145404290192,0.810130912168687,-0.592056971964404,-0.710951291198252,-0.318424448396481,-0.0313999677701469,0.047580058445895,-0.288237605926262,-0.162430353133117,-0.488198495401962,0.207947122851296,-0.278597787395842,-0.421921702743394,-0.484585339253743,-0.110818107943625,-0.319650644584412,-0.00922867557543597,-0.205678810581728,-0.599242835787674,0.0349088038338081,-0.0104317906738131,-0.0874266451717583,0.0125223628893193,-0.0817530960291302,-0.0305260734499303,-0.0558540377516582,-0.00574855482623846,-0.446963330490604,8.413622582937e-19,0.0197030844200671,5.67543746413899e-30,9.73008121704242e-69,5.09976484602212e-63,4.70029442845968e-129,1.95948852564069e-191,1.5715682618884e-78,6.77244374673311e-127,9.87701339906901e-21,0.369767534731287,0.173984400204614,4.08873979507685e-17,3.01843761285263e-06,3.27153931595593e-50,1.92407439543205e-09,4.77251534223581e-16,1.20823131689659e-36,2.15649285917916e-49,0.00150141061340507,6.89681056859995e-21,0.792127798984579,2.90014823684886e-09,6.91935696406824e-81,0.31867065832712,0.765773100019727,0.0123692697635488,0.720631691641379,0.0193594786174461,0.383243750309658,0.110428987548802,0.869603122336571,2.01308366509019e-41,-0.330966098607548,2.31703634780243e-22
