"gene","module","MM_MEdarkred","MM_MEsalmon","MM_MEgrey60","MM_MEtan","MM_MEviolet","MM_MEbrown","MM_MEred","MM_MEorange","MM_MEblue","MM_MEyellow","MM_MElightgreen","MM_MEpurple","MM_MEdarkgreen","MM_MElightyellow","MM_MElightcyan","MM_MEblack","MM_MEpink","MM_MEgreenyellow","MM_MEmidnightblue","MM_MEdarkorange","MM_MEdarkturquoise","MM_MEsteelblue","MM_MEdarkgrey","MM_MEturquoise","MM_MEsaddlebrown","MM_MEcyan","MM_MEgreen","MM_MEmagenta","MM_MEpaleturquoise","MM_MEwhite","MM_MEroyalblue","MM_MEskyblue","MM_MEgrey","p.MM_MEdarkred","p.MM_MEsalmon","p.MM_MEgrey60","p.MM_MEtan","p.MM_MEviolet","p.MM_MEbrown","p.MM_MEred","p.MM_MEorange","p.MM_MEblue","p.MM_MEyellow","p.MM_MElightgreen","p.MM_MEpurple","p.MM_MEdarkgreen","p.MM_MElightyellow","p.MM_MElightcyan","p.MM_MEblack","p.MM_MEpink","p.MM_MEgreenyellow","p.MM_MEmidnightblue","p.MM_MEdarkorange","p.MM_MEdarkturquoise","p.MM_MEsteelblue","p.MM_MEdarkgrey","p.MM_MEturquoise","p.MM_MEsaddlebrown","p.MM_MEcyan","p.MM_MEgreen","p.MM_MEmagenta","p.MM_MEpaleturquoise","p.MM_MEwhite","p.MM_MEroyalblue","p.MM_MEskyblue","p.MM_MEgrey","GS_AGE","p.GS_AGE","target_module"
"ENSG00000166033.13","turquoise",-0.1421168787113,0.214102648656855,-0.533792459800361,-0.649286030798198,-0.0943739223080192,-0.565822947134925,-0.538948728301592,0.00837662081413289,0.463982458502736,-0.0658668993501065,0.285201388904827,0.219688587593494,0.373571891264678,0.212328918445282,0.409540356148055,-0.0588172717937789,0.463666697309968,0.466277905026161,0.427009486525368,0.227210174816499,0.530942618914681,0.586083198206772,0.57249820507843,0.887532482772471,0.326529326570158,0.507070091723437,0.537363520366863,-0.0585200205834603,0.184897004986487,0.0236248810880531,0.121471284136008,0.0496928410917147,0.670034261266234,4.52010316020689e-05,6.17131339577881e-10,1.95160068090526e-61,4.26983231327929e-99,0.00691182108031953,2.06654670970527e-70,8.13325191597282e-63,0.810938833163573,6.62544924403498e-45,0.0596998589783127,8.9577961215289e-17,2.13379607714648e-10,1.72666223226656e-28,8.59456728965137e-10,1.99666484490975e-34,0.0927438383539002,7.72034246480937e-45,2.16903869207045e-45,1.39151021194081e-37,4.87814192374888e-11,1.10409489297895e-60,1.28977525543596e-76,2.08243153625274e-72,7.61419363888073e-277,8.91664776446439e-22,1.1862344242751e-54,2.1732303802323e-62,0.0944085012188049,1.00352371352468e-07,0.499835223507081,0.000498145586454755,0.155621084336744,1.06282349357522e-107,0.30438340806872,5.36746267682312e-19,"turquoise"
"ENSG00000035862.12","turquoise",-0.194481188769223,0.0955616682346633,-0.388934085415701,-0.590299006154808,-0.136439790811952,-0.497255372869776,-0.599705549077715,0.0829070480164057,0.390153632283827,-0.091012037003094,0.150043752064982,0.136395689382539,0.389354150098641,0.186153280705269,0.353130878089277,-0.0331714987495229,0.492810555198402,0.420168274933587,0.410472205872038,0.20826357904189,0.447857432985979,0.467484095301023,0.70100376289353,0.880392673749621,0.257042723394189,0.490174939335791,0.662861489196559,-0.0825482786435492,0.151775103152367,0.0259556695969207,0.110991648795482,0.0483780691915904,0.567814096637162,2.05368491361901e-08,0.00623399374950725,6.18289733340484e-31,5.80485228421014e-78,9.05443031073748e-05,2.61971898518843e-52,4.85611549161755e-81,0.0177084931992937,3.90283275810325e-31,0.00920260632759618,1.63837944811708e-05,9.10247926859031e-05,5.27792101341363e-31,8.18890757388529e-08,1.96841243599559e-25,0.343364682681791,2.85103796913472e-51,2.52314923589282e-36,1.3695376531412e-34,1.81635030244839e-09,1.33585541400146e-41,1.20215189165308e-45,6.2959404440769e-122,1.31739273919943e-266,8.2568289591043e-14,1.1550198564485e-50,1.19937693607217e-104,0.0182080795682876,1.30350703267416e-05,0.458487313577173,0.00147573776209492,0.166867267391479,5.30192108776185e-71,0.2366571811421,7.0899511229657e-12,"turquoise"
"ENSG00000155254.13","turquoise",-0.226780647356048,0.0814569409781766,-0.413616548201296,-0.597760916504304,-0.122628603852257,-0.558627717700169,-0.554830856509972,0.0758512657424143,0.465445820726184,-0.00134220950891164,0.187125980443605,0.175439757554562,0.439439966524763,0.187848466551378,0.38199190309526,-0.128837399733485,0.403727205633611,0.380049620043383,0.356869139058451,0.184055425290679,0.459482285738775,0.420292082655983,0.604847386633199,0.879774763081536,0.292125089286043,0.441072434115017,0.552359367511003,-0.0686938691729188,0.159383204497721,0.0449847597990012,0.14276155653329,0.0700236827024524,0.584772739790969,5.31460332861129e-11,0.0198042559042738,3.80421947351816e-35,2.14228437588451e-80,0.00043946357607687,2.61238443345742e-68,3.20304617760529e-67,0.0300669361837513,3.25449851037309e-45,0.969425014346894,6.98942196750637e-08,4.43575499613161e-07,6.0488373027175e-40,6.21034362666952e-08,8.179307497031e-30,0.000220221807078998,2.04218610495214e-33,1.66608674091138e-29,5.64303161781483e-26,1.14906182040732e-07,5.77172191331484e-44,2.39565676916202e-36,9.12911222956853e-83,9.43690748978631e-266,1.47705856753725e-17,2.9117069390727e-40,1.60923827044549e-66,0.049529083012376,4.63170854745354e-06,0.198694869643035,4.17016949574662e-05,0.0452716370266636,3.3505941895011e-76,0.260156877156268,4.0356497641311e-14,"turquoise"
"ENSG00000110811.20","turquoise",-0.099408295769501,0.184781453464719,-0.477488807285148,-0.590006028849857,-0.0435264046628863,-0.570684413081861,-0.588196216940229,0.11980487758053,0.486314615657326,0.0315249464065534,0.12579461429993,0.086670877940924,0.42376597704588,0.235250385912781,0.57001398985309,-0.0586538825070446,0.51703097941934,0.396392664497536,0.443932586288339,0.217763253234232,0.485279698594892,0.478662624002321,0.58781252022601,0.870112212710686,0.231129767045879,0.390732749731915,0.455818467209291,-0.0653197653337029,0.161119390473237,0.0273247116807369,0.112763107478403,0.056830839965926,0.56238408642906,0.00442929386778447,1.02239627143177e-07,8.20533948168931e-48,7.21146375928862e-78,0.213657374047855,7.33895776856679e-72,2.74153221038699e-77,0.000595539698490382,8.76988417637889e-50,0.367864568845413,0.000310177708868079,0.0131483883258153,5.54301761474296e-37,9.49944690753934e-12,1.16676181713327e-71,0.0936559139432903,4.12858814505653e-57,3.59713771608451e-32,8.01028945150515e-41,3.0870081890316e-10,1.50354507464507e-49,4.52116694644585e-48,3.63481693042897e-77,5.80895862164377e-253,2.21394216812346e-11,3.13474558027945e-31,3.2838724932806e-43,0.0618557069308097,3.63251624294186e-06,0.435122213437535,0.00123582277196912,0.104326934306233,2.11934283915465e-69,0.253255453253079,1.94684910060444e-13,"turquoise"
"ENSG00000127990.19","turquoise",-0.0909472378900626,0.174452624414873,-0.471530738696944,-0.558300472048563,-0.0843425453511408,-0.530249805054821,-0.610651490565269,0.0944777946977294,0.425173892914039,-0.0632377305646509,0.115924826187554,0.0199084208913881,0.391791210387457,0.19742337356673,0.446211398131744,-0.0492666989197297,0.501091146717326,0.363506099501245,0.454364310177323,0.20608017037362,0.496437752249234,0.407578599518693,0.553552862416709,0.860170664463314,0.257547403443793,0.449530864898596,0.558147103390133,-0.0471104661785166,0.169637557529468,0.0326010452873154,0.107391785503367,0.0403041507965617,0.543198818841781,0.00925273150515322,5.15685385261311e-07,1.63137900375323e-46,3.24645482534862e-68,0.0158275752097795,1.67837733432145e-60,9.41974253834985e-85,0.00685000959675694,3.04784876071241e-37,0.0706552152260844,0.000894817959515565,0.569640932105291,2.09775092475973e-31,1.24137986196837e-08,2.83945305162053e-41,0.159201485264729,3.2449775368085e-53,5.89078941619832e-27,6.50937614398766e-43,2.69797051169391e-09,4.07484402606717e-52,4.39855187492596e-34,7.39280438372458e-67,7.81328283220746e-241,7.35716881242253e-14,6.18002583819344e-42,3.59420006789961e-68,0.178276948409895,1.06224510016133e-06,0.351732331423408,0.00210021594976234,0.249554543637559,5.68298842293534e-64,0.228323426812846,3.90343608115045e-11,"turquoise"
"ENSG00000142156.16","turquoise",-0.187480459904523,0.104867488399711,-0.431783418615005,-0.504956854070617,-0.190223258937219,-0.753970369513101,-0.620277796331149,0.269274687576539,0.688878658359127,0.290625032420855,0.065792882062221,0.0809596492162758,0.350290566466245,0.177092348298906,0.508096312327106,-0.334746093610611,0.304144970804993,0.263836201535485,0.391646988066779,0.168025535943163,0.468212312892898,0.419200054424257,0.579052865059232,0.857367370992831,0.27690276216801,0.330430303730818,0.28736031492534,-0.110054016016416,0.0716010139998592,0.0536579456444056,0.113117956433987,0.0594112025249014,0.545188720196337,6.59605035702584e-08,0.00267349482094709,1.77023790458811e-38,3.84899384154487e-54,4.19755687046168e-08,4.48899973232544e-151,3.86512771640517e-88,4.69470218028094e-15,3.82612877483798e-116,2.1919850724259e-17,0.0599878159327834,0.0205711551772458,5.0297987394139e-25,3.44054433743034e-07,6.67788881808443e-55,7.22207247694212e-23,5.73368297612668e-19,1.71088454525297e-14,2.2159556736379e-31,1.34695265587771e-06,8.40855106056229e-46,3.78199398735168e-36,2.05533446200877e-74,1.39385329849346e-237,7.27961328676604e-16,2.72975577464651e-22,5.13373303077722e-17,0.00161940511293048,0.0406251296487353,0.125174185033864,0.00119231525820661,0.089488196175229,1.61351584289249e-64,0.244314877896316,1.39524951443756e-12,"turquoise"
"ENSG00000108821.14","turquoise",-0.200189579447607,0.0865079006071344,-0.436972460037485,-0.520816861228178,-0.0846360755945783,-0.649608300266858,-0.576250294692848,0.148769108135784,0.58880633830114,0.152618754973824,0.132243088559382,0.170843452569429,0.358549606183492,0.222930530269567,0.483913202380284,-0.229712480192362,0.34286097346018,0.316856736892396,0.340867331055729,0.233429633975474,0.485386394515191,0.549588740534459,0.655926420260112,0.856736831197645,0.384498607424755,0.394771746405179,0.362419328464999,-0.072100280386093,0.112412410766856,0.0632150011995328,0.154220655301043,0.0835227081456503,0.576595301372032,7.67855680805805e-09,0.0133219711446834,1.81277795246389e-39,4.56949593972321e-58,0.0154653238300981,3.17629253838161e-99,1.49969176584293e-73,1.93563316068491e-05,1.74937859746686e-77,1.16500931623612e-05,0.000148759076950846,8.88061111657831e-07,3.20055038667363e-26,1.13689366128815e-10,3.05509202558035e-49,2.95085382913472e-11,5.5947049608833e-24,1.55953669460778e-20,1.05622310766358e-23,1.38334110483976e-11,1.42238242893221e-49,9.67358796948746e-66,8.93079062272812e-102,7.34452450653403e-237,3.24232537909344e-30,6.71581607415345e-32,8.55954415505104e-27,0.0392411887747421,0.00128025477728492,0.0707566579257871,9.39687236802471e-06,0.0168790936222244,1.17543578463851e-73,0.221048967014509,1.64033045516559e-10,"turquoise"
"ENSG00000142173.16","turquoise",-0.227362059671115,0.0175108180841171,-0.372200022486082,-0.52668848831341,-0.116704242612086,-0.649017273862497,-0.643834106098213,0.265746367469457,0.583422501965946,0.202221360914924,0.00291690902945341,0.0850255265453985,0.354049403322725,0.194310352270146,0.529740379306862,-0.198159753805075,0.419604480614914,0.295737087061788,0.370996232150993,0.198917494084926,0.446580058493105,0.441077517102311,0.580044910841425,0.856360196673964,0.310825315342307,0.398110972851419,0.385717537084233,-0.0685130181644728,0.102512648835295,0.0688765871662618,0.124996694725299,0.0811622492533637,0.491602436925636,4.73234497772211e-11,0.617008797328402,2.81411113789375e-28,1.4230337136179e-59,0.000825344307054234,5.46318532566717e-99,6.03462597656697e-97,1.09000284008623e-14,8.91958643898156e-76,5.37205168929182e-09,0.93361439865701,0.0149959480951839,1.45032460347253e-25,2.11409845532047e-08,2.2822309058043e-60,1.09309735787209e-08,3.19424373985956e-36,5.65430930292142e-18,4.3116804066541e-28,9.58495165383122e-09,2.39908856996164e-41,2.90506791004218e-40,1.01239426045039e-74,1.97437160726033e-236,8.81582178979321e-20,1.84873941987269e-32,2.06148808815902e-30,0.0501331869768734,0.00333347950388236,0.048924944355762,0.000338904637386109,0.0202556493569474,5.42210228715578e-51,0.239684683951485,3.75351735120157e-12,"turquoise"
"ENSG00000135318.12","turquoise",-0.135417550733079,0.186787185851293,-0.558015557020968,-0.552258955401531,-0.0580808818164776,-0.561409229006652,-0.53954922182703,0.0226918558256791,0.460769041078352,-0.0324923470019964,0.190988530372004,0.0686723739142615,0.388615512817234,0.185101759492071,0.472024036728399,-0.117721623154602,0.43184184684326,0.329908285093825,0.424278667654303,0.192406030457558,0.51786544092903,0.442816433258995,0.600045310481167,0.854002432720405,0.288520637834242,0.481621966335748,0.470349477599454,-0.0802588593293207,0.179681093236826,0.0303276012512388,0.139380433922264,0.0694137708766084,0.567322361371914,0.000102320256810657,7.38652829530644e-08,3.92182969612194e-68,1.71782587062475e-66,0.0969114142503107,4.07979672669726e-69,5.59728879538669e-63,0.516924190415561,3.11839707732356e-44,0.35334126509946,3.69584390685598e-08,0.0496005638143492,6.97026309229548e-31,9.70905475796073e-08,1.27649380862329e-46,0.000742166985271398,1.72577109361995e-38,3.20146354151208e-22,4.45964065478157e-37,2.91552701512096e-08,2.54761951773915e-57,1.32743973385733e-40,3.74294749819008e-81,9.04317499471189e-234,3.79862397541397e-17,9.95832613311596e-49,2.93063933512086e-46,0.0216957010026347,2.29987581487325e-07,0.386345699950874,6.33903582792957e-05,0.0471844545788043,7.42531669424232e-71,0.254653036776847,1.42093998000308e-13,"turquoise"
"ENSG00000006042.12","turquoise",-0.0982293233768365,0.196460251406054,-0.444011084688196,-0.559105801002837,-0.0374685651034935,-0.494141870325883,-0.477040393473577,-0.0395591529062491,0.396624715334652,-0.0855342365234818,0.234216015474306,0.154906237192973,0.500032968372736,0.206437820334857,0.335445671095234,-0.0746026462328371,0.415465238507542,0.377712204651041,0.366697902019904,0.247322243261679,0.500978981113824,0.552159499958238,0.64168825705005,0.853663988518219,0.347212935674146,0.494823772832316,0.598981106976528,-0.0489448314147285,0.175522447245073,0.0409426215762637,0.131107475577366,0.073769012775413,0.61655706776915,0.00492445829425466,1.46501822199598e-08,7.73017915676554e-41,1.9009766836451e-68,0.284455361785594,1.39982800492664e-51,1.02970803662063e-47,0.258420747338282,3.28864506002306e-32,0.0144017317431209,1.17651456774399e-11,8.56536333376793e-06,5.78883476989088e-53,2.52940544413341e-09,5.8101674388698e-23,0.0328920455525485,1.77998141421229e-35,3.89745216595478e-29,1.94962056548946e-27,7.25607228804486e-13,3.45063801680587e-53,1.83256014976712e-66,4.12087844404579e-96,2.15986221343241e-233,1.37515438182558e-24,9.71209028348734e-52,8.45155865310272e-81,0.161946762986703,4.37996888417057e-07,0.242126783205867,0.000169727492540858,0.0349019849895362,8.13153487625632e-87,0.207387069348949,2.13014122300581e-09,"turquoise"
