"gene","module","MM","p_MM","GS_AGE","p_GS_AGE","abs_MM","abs_GS_AGE","rank_in_module"
"ENSG00000213903.9","greenyellow",0.888690328216118,1.43246141206272e-278,0.316660153159902,1.65115303499224e-20,0.888690328216118,0.316660153159902,1
"ENSG00000204410.16","greenyellow",0.799085901683392,1.70801665128809e-182,0.29775185006286,3.2898290728677e-18,0.799085901683392,0.29775185006286,2
"ENSG00000140688.17","greenyellow",0.79551634473466,1.0068716859826e-179,0.284997183241554,9.43975430082151e-17,0.79551634473466,0.284997183241554,3
"ENSG00000170919.16","greenyellow",0.792252435253589,3.07831627211352e-177,0.278580021432576,4.79375448636444e-16,0.792252435253589,0.278580021432576,4
"ENSG00000160781.17","greenyellow",0.789742726269373,2.33961077449166e-175,0.307971881862338,1.97315090909419e-19,0.789742726269373,0.307971881862338,5
"ENSG00000138834.15","greenyellow",0.789337404736131,4.68257039703147e-175,0.319714101082891,6.76950188275717e-21,0.789337404736131,0.319714101082891,6
"ENSG00000108474.17","greenyellow",0.786807365936996,3.43984366175401e-173,0.236193281345372,7.80963474760311e-12,0.786807365936996,0.236193281345372,7
"ENSG00000184441.4","greenyellow",0.769114031351228,8.13166451244929e-161,0.282411238071631,1.82623619006237e-16,0.769114031351228,0.282411238071631,8
"ENSG00000163257.11","greenyellow",0.763457672264191,4.31073706695747e-157,0.278633277082324,4.73036431567516e-16,0.763457672264191,0.278633277082324,9
"ENSG00000127415.13","greenyellow",0.760869863996727,2.01273917826845e-155,0.312462562270084,5.53049973110178e-20,0.760869863996727,0.312462562270084,10
"ENSG00000213906.10","greenyellow",0.758538777938597,6.15638081548329e-154,0.270211641628516,3.74586654871987e-15,0.758538777938597,0.270211641628516,11
"ENSG00000260261.2","greenyellow",0.752839118801758,2.24567008993626e-150,0.264148245927618,1.5898051241063e-14,0.752839118801758,0.264148245927618,12
"ENSG00000244560.7","greenyellow",0.747548551835538,3.7291345780293e-147,0.281452862236874,2.32815850202245e-16,0.747548551835538,0.281452862236874,13
"ENSG00000167992.14","greenyellow",0.741367969935658,1.71088685142596e-143,0.371684306273727,3.37927672983232e-28,0.741367969935658,0.371684306273727,14
"ENSG00000182841.13","greenyellow",0.74093566229267,3.05781386641307e-143,0.293096021333581,1.14257641731005e-17,0.74093566229267,0.293096021333581,15
"ENSG00000226696.7","greenyellow",0.737871313882742,1.81410172877742e-141,0.237420983121681,6.04390971277977e-12,0.737871313882742,0.237420983121681,16
"ENSG00000203761.5","greenyellow",0.736740242908939,8.07037598168786e-141,0.276331577814602,8.38706901148186e-16,0.736740242908939,0.276331577814602,17
"ENSG00000229152.2","greenyellow",0.73523184777,5.83680774556601e-140,0.322680355937556,2.8193821437615e-21,0.73523184777,0.322680355937556,18
"ENSG00000263272.1","greenyellow",0.73238341374356,2.35960603194408e-138,0.198160933012807,1.09287428397442e-08,0.73238341374356,0.198160933012807,19
"ENSG00000167615.17","greenyellow",0.727519939567509,1.17172798877161e-135,0.285125171466268,9.13478004794633e-17,0.727519939567509,0.285125171466268,20
"ENSG00000127586.17","greenyellow",0.726038817992057,7.5557886619589e-135,0.30160060866659,1.15522730041364e-18,0.726038817992057,0.30160060866659,21
"ENSG00000103269.14","greenyellow",0.724494090769799,5.21003212781298e-134,0.307678739660999,2.14234572688408e-19,0.724494090769799,0.307678739660999,22
"ENSG00000116032.5","greenyellow",0.713493549600411,3.36470964396146e-128,0.250812251749198,3.36058099385549e-13,0.713493549600411,0.250812251749198,23
"ENSG00000226005.6","greenyellow",0.712294292909934,1.39238064276393e-127,0.3922216069798,1.78088972171752e-31,0.712294292909934,0.3922216069798,24
"ENSG00000236144.9","greenyellow",0.711629951213891,3.04847990674923e-127,0.116464723027778,0.000846143320473254,0.711629951213891,0.116464723027778,25
"ENSG00000260404.4","greenyellow",0.711071645163522,5.87951551943837e-127,0.293568895753421,1.00790501323448e-17,0.711071645163522,0.293568895753421,26
"ENSG00000100031.19","greenyellow",0.709415299130616,4.0891615288829e-126,0.318140983495448,1.07295360172744e-20,0.709415299130616,0.318140983495448,27
"ENSG00000231443.2","greenyellow",0.709001335898553,6.62548012607558e-126,0.202499311944946,5.11435836332501e-09,0.709001335898553,0.202499311944946,28
"ENSG00000258839.4","greenyellow",0.70589190687815,2.41964873380901e-124,0.212923924009987,7.69324877625475e-10,0.70589190687815,0.212923924009987,29
"ENSG00000066651.20","greenyellow",0.701231966081609,4.86855325398823e-122,0.194968307826859,1.89046609483794e-08,0.701231966081609,0.194968307826859,30
"ENSG00000164077.15","red",0.855685252326261,1.15341718741094e-235,-0.365131503853538,3.35969321162778e-27,0.855685252326261,0.365131503853538,1
"ENSG00000196182.11","red",0.849018504913765,2.68999154993754e-228,-0.347471820845285,1.26413967893366e-24,0.849018504913765,0.347471820845285,2
"ENSG00000168000.16","red",0.842055862327795,5.66730955884762e-221,-0.32331731435471,2.33299664871913e-21,0.842055862327795,0.32331731435471,3
"ENSG00000101084.19","red",0.828274488013281,1.79078045075048e-207,-0.341661370471259,8.20497687515503e-24,0.828274488013281,0.341661370471259,4
"ENSG00000204560.10","red",0.823277353345095,7.1334756041836e-203,-0.297024149737693,4.00259003070904e-18,0.823277353345095,0.297024149737693,5
"ENSG00000159461.15","red",0.822654727713528,2.60790658426143e-202,-0.338535050639144,2.20838768680363e-23,0.822654727713528,0.338535050639144,6
"ENSG00000174516.15","red",0.820835652416531,1.11831484781394e-200,-0.271654124380114,2.64143987148101e-15,0.820835652416531,0.271654124380114,7
"ENSG00000126243.9","red",0.819547804643716,1.55951545050913e-199,-0.291055642976653,1.95761906628199e-17,0.819547804643716,0.291055642976653,8
"ENSG00000115216.14","red",0.812840998659954,1.01957939969233e-193,-0.338100573982726,2.53189684351754e-23,0.812840998659954,0.338100573982726,9
"ENSG00000196072.12","red",0.810130912168687,1.95948852564069e-191,-0.330966098607548,2.31703634780243e-22,0.810130912168687,0.330966098607548,10
"ENSG00000100605.17","red",0.806390150435206,2.42462893906902e-188,-0.265868240808662,1.05896571549768e-14,0.806390150435206,0.265868240808662,11
"ENSG00000175166.17","red",0.799568932112739,7.13322801995567e-183,-0.278637407309185,4.72548270562436e-16,0.799568932112739,0.278637407309185,12
"ENSG00000125817.8","red",0.796276712018753,2.61498912112041e-180,-0.296710739148461,4.35458474486079e-18,0.796276712018753,0.296710739148461,13
"ENSG00000143443.10","red",0.7944202587114,6.96032022745308e-179,-0.337786915552492,2.79414145135295e-23,0.7944202587114,0.337786915552492,14
"ENSG00000110025.13","red",0.794322194517366,8.26992727183142e-179,-0.310674255330383,9.20200427590556e-20,0.794322194517366,0.310674255330383,15
"ENSG00000116809.12","red",0.793861457571298,1.856653801945e-178,-0.275975880590784,9.15876315946253e-16,0.793861457571298,0.275975880590784,16
"ENSG00000079999.14","red",0.793512012565789,3.42390612092922e-178,-0.307443415164757,2.28845623546422e-19,0.793512012565789,0.307443415164757,17
"ENSG00000070010.19","red",0.792970729568532,8.81479233504138e-178,-0.243584337926498,1.63326433719709e-12,0.792970729568532,0.243584337926498,18
