"erv_fragment_id","chromosome","repeat_start","repeat_end","repeat_length","erv_strand","repName","repFamily","repeat_part","percent_divergence","epigenome_support_n","supporting_epigenomes","supported_in_E100","supported_in_E108","enhancer_states","enhancer_overlap_pair_n","consensus_support"
"chr1_100174818_100175187_MSTA","chr1",100174818,100175187,370,"+","MSTA","ERVL-MaLR","LTR_or_other",14.2,1,"E108",FALSE,TRUE,"EnhG1",1,FALSE
"chr1_100175488_100175526_MSTA","chr1",100175488,100175526,39,"+","MSTA","ERVL-MaLR","LTR_or_other",14.2,1,"E108",FALSE,TRUE,"EnhG1",1,FALSE
"chr1_100180085_100180244_MLT1N2","chr1",100180085,100180244,160,"+","MLT1N2","ERVL-MaLR","LTR_or_other",30.8,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_100190110_100190420_MLT1J2","chr1",100190110,100190420,311,"-","MLT1J2","ERVL-MaLR","LTR_or_other",25.9,2,"E100;E108",TRUE,TRUE,"EnhA2",2,TRUE
"chr1_100218031_100218131_LTR16A1","chr1",100218031,100218131,101,"+","LTR16A1","ERVL","LTR_or_other",24.8,1,"E108",FALSE,TRUE,"EnhG1",1,FALSE
"chr1_100267419_100267812_MLT1B","chr1",100267419,100267812,394,"-","MLT1B","ERVL-MaLR","LTR_or_other",14.7,1,"E108",FALSE,TRUE,"EnhG1",1,FALSE
"chr1_100460968_100461158_LTR33A","chr1",100460968,100461158,191,"-","LTR33A","ERVL","LTR_or_other",27.5,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_100461174_100461361_LTR33A","chr1",100461174,100461361,188,"-","LTR33A","ERVL","LTR_or_other",24.2,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_10052761_10053052_MLT1A0","chr1",10052761,10053052,292,"-","MLT1A0","ERVL-MaLR","LTR_or_other",18.9,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_100529505_100529859_MLT1A0","chr1",100529505,100529859,355,"-","MLT1A0","ERVL-MaLR","LTR_or_other",17.6,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_100531624_100532058_MSTC","chr1",100531624,100532058,435,"-","MSTC","ERVL-MaLR","LTR_or_other",12.4,1,"E108",FALSE,TRUE,"EnhA1;EnhA2",2,FALSE
"chr1_10065509_10065680_MLT1I","chr1",10065509,10065680,172,"+","MLT1I","ERVL-MaLR","LTR_or_other",26.2,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_100733890_100734239_THE1D","chr1",100733890,100734239,350,"-","THE1D","ERVL-MaLR","LTR_or_other",11.4,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_101181860_101181971_LTR16A","chr1",101181860,101181971,112,"+","LTR16A","ERVL","LTR_or_other",18.8,2,"E100;E108",TRUE,TRUE,"EnhA2",2,TRUE
"chr1_101181990_101182191_LTR16A","chr1",101181990,101182191,202,"+","LTR16A","ERVL","LTR_or_other",24.8,2,"E100;E108",TRUE,TRUE,"EnhA2",2,TRUE
"chr1_101182844_101182951_THE1D","chr1",101182844,101182951,108,"+","THE1D","ERVL-MaLR","LTR_or_other",19.4,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_10152817_10153078_LTR50","chr1",10152817,10153078,262,"-","LTR50","ERVL","LTR_or_other",29.2,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_10153084_10153223_LTR50","chr1",10153084,10153223,140,"-","LTR50","ERVL","LTR_or_other",23,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_10154390_10154431_LTR50","chr1",10154390,10154431,42,"-","LTR50","ERVL","LTR_or_other",19.1,2,"E100;E108",TRUE,TRUE,"EnhA2",2,TRUE
