"gene","module","gene_clean","symbol","is_GenAge","symbol_gtf","gene_type","chromosome","gene_start","gene_end","strand","TSS","gene_length","ERV_position_eligible","promoter_ERV_n","promoter_ERV_any","promoter_ERV_families","nearest_ERV_distance","nearest_ERV_fragment_id","nearest_ERV_repName","nearest_ERV_family","nearest_ERV_part","nearest_ERV_start","nearest_ERV_end","nearest_ERV_strand","nearest_ERV_direction","nearest_ERV_signed_distance"
"ENSG00000134184.13","grey","ENSG00000134184","GSTM1",FALSE,"GSTM1","protein_coding","chr1",109687814,109693745,"+",109687814,5932,TRUE,1,TRUE,"ERV1",848,"chr1_109686308_109686965_PABL_A","PABL_A","ERV1","LTR_or_other",109686308,109686965,"+","upstream",-848
"ENSG00000149968.12","brown","ENSG00000149968","MMP3",FALSE,"MMP3","protein_coding","chr11",102835801,102843609,"-",102843609,7809,TRUE,0,FALSE,NA,4040,"chr11_102847650_102848012_THE1B","THE1B","ERVL-MaLR","LTR_or_other",102847650,102848012,"+","upstream",-4040
"ENSG00000288777.1","grey","ENSG00000288777","ENSG00000288777",FALSE,"ENSG00000288777","lncRNA","chr22",35603958,35604880,"-",35604880,923,TRUE,0,FALSE,NA,1709,"chr22_35603106_35603170_MLT2C1","MLT2C1","ERVL","LTR_or_other",35603106,35603170,"+","downstream",1709
"ENSG00000115221.12","blue","ENSG00000115221","ITGB6",FALSE,"ITGB6","protein_coding","chr2",160099667,160200313,"-",160200313,100647,TRUE,0,FALSE,NA,2582,"chr2_160202896_160203435_LTR40a","LTR40a","ERVL","LTR_or_other",160202896,160203435,"+","upstream",-2582
"ENSG00000265142.9","blue","ENSG00000265142","MIR133A1HG",FALSE,"MIR133A1HG","lncRNA","chr18",21825487,21831539,"-",21831539,6053,TRUE,0,FALSE,NA,14900,"chr18_21846440_21846765_MLT1K","MLT1K","ERVL-MaLR","LTR_or_other",21846440,21846765,"-","upstream",-14900
"ENSG00000173432.13","black","ENSG00000173432","SAA1",FALSE,"SAA1","protein_coding","chr11",18266260,18269977,"+",18266260,3718,TRUE,0,FALSE,NA,3967,"chr11_18270228_18270455_LTR41B","LTR41B","ERVL","LTR_or_other",18270228,18270455,"+","downstream",3967
"ENSG00000134339.9","black","ENSG00000134339","SAA2",FALSE,"SAA2","protein_coding","chr11",18239223,18248668,"-",18248668,9446,TRUE,0,FALSE,NA,4041,"chr11_18244500_18244626_LTR41","LTR41","ERVL","LTR_or_other",18244500,18244626,"+","downstream",4041
"ENSG00000248746.6","yellow","ENSG00000248746","ACTN3",FALSE,"ACTN3","protein_coding","chr11",66546395,66563334,"+",66546395,16940,TRUE,0,FALSE,NA,23538,"chr11_66569934_66570653_LTR8A","LTR8A","ERV1","LTR_or_other",66569934,66570653,"+","downstream",23538
"ENSG00000133048.13","black","ENSG00000133048","CHI3L1",FALSE,"CHI3L1","protein_coding","chr1",203178931,203186704,"-",203186704,7774,TRUE,2,TRUE,"ERVL",976,"chr1_203187681_203188397_LTR83","LTR83","ERVL","LTR_or_other",203187681,203188397,"-","upstream",-976
"ENSG00000129170.10","blue","ENSG00000129170","CSRP3",FALSE,"CSRP3","protein_coding","chr11",19182030,19210571,"-",19210571,28542,TRUE,0,FALSE,NA,4597,"chr11_19205635_19205973_MLT1B","MLT1B","ERVL-MaLR","LTR_or_other",19205635,19205973,"-","downstream",4597
"ENSG00000272021.1","brown","ENSG00000272021","ENSG00000272021",FALSE,"ENSG00000272021","lncRNA","chr5",95849309,95849855,"+",95849309,547,TRUE,0,FALSE,NA,1673,"chr5_95850983_95852649_LTR12C","LTR12C","ERV1","LTR_or_other",95850983,95852649,"+","downstream",1673
"ENSG00000231806.4","blue","ENSG00000231806","PCAT7",FALSE,"PCAT7","lncRNA","chr9",94555054,94603990,"+",94555054,48937,TRUE,0,FALSE,NA,3793,"chr9_94550988_94551260_HERV35I-int","HERV35I-int","ERV1","internal",94550988,94551260,"-","upstream",-3793
"ENSG00000196136.18","black","ENSG00000196136","SERPINA3",FALSE,"SERPINA3","protein_coding","chr14",94612384,94624055,"+",94612384,11672,TRUE,0,FALSE,NA,2380,"chr14_94609549_94610003_MLT1J","MLT1J","ERVL-MaLR","LTR_or_other",94609549,94610003,"+","upstream",-2380
"ENSG00000236882.8","brown","ENSG00000236882","LINC01554",FALSE,"LINC01554","lncRNA","chr5",95838245,95860133,"+",95838245,21889,TRUE,0,FALSE,NA,5524,"chr5_95831861_95832720_LTR78B","LTR78B","ERV1","LTR_or_other",95831861,95832720,"+","upstream",-5524
"ENSG00000145949.11","tan","ENSG00000145949","MYLK4",FALSE,"MYLK4","protein_coding","chr6",2663629,2750922,"-",2750922,87294,TRUE,0,FALSE,NA,9357,"chr6_2760280_2760501_MER21C","MER21C","ERVL","LTR_or_other",2760280,2760501,"-","upstream",-9357
"ENSG00000124107.5","brown","ENSG00000124107","SLPI",FALSE,"SLPI","protein_coding","chr20",45252239,45254564,"-",45254564,2326,TRUE,0,FALSE,NA,3190,"chr20_45251255_45251373_LTR16","LTR16","ERVL","LTR_or_other",45251255,45251373,"+","downstream",3190
"ENSG00000128965.13","brown","ENSG00000128965","CHAC1",FALSE,"CHAC1","protein_coding","chr15",40952962,40956512,"+",40952962,3551,TRUE,0,FALSE,NA,8470,"chr15_40961433_40962899_LTR12C","LTR12C","ERV1","LTR_or_other",40961433,40962899,"+","downstream",8470
"ENSG00000174611.12","blue","ENSG00000174611","KY",FALSE,"KY","protein_coding","chr3",134599923,134651022,"-",134651022,51100,TRUE,0,FALSE,NA,2620,"chr3_134647948_134648401_MLT1N2","MLT1N2","ERVL-MaLR","LTR_or_other",134647948,134648401,"+","downstream",2620
"ENSG00000214097.5","blue","ENSG00000214097","SMCO1",FALSE,"SMCO1","protein_coding","chr3",196506879,196515346,"-",196515346,8468,TRUE,1,TRUE,"ERVL",1800,"chr3_196517147_196517573_MER21B","MER21B","ERVL","LTR_or_other",196517147,196517573,"+","upstream",-1800
"ENSG00000289456.1","brown","ENSG00000289456","ENSG00000289456",FALSE,"ENSG00000289456","lncRNA","chr6",35563135,35566952,"-",35566952,3818,TRUE,2,TRUE,"ERV1",0,"chr6_35566830_35567331_LTR10B","LTR10B","ERV1","LTR_or_other",35566830,35567331,"-","overlaps_TSS",0
"ENSG00000188488.14","grey60","ENSG00000188488","SERPINA5",FALSE,"SERPINA5","protein_coding","chr14",94578706,94593118,"+",94578706,14413,TRUE,2,TRUE,"ERVL-MaLR",0,"chr14_94578702_94578929_MLT1B","MLT1B","ERVL-MaLR","LTR_or_other",94578702,94578929,"+","overlaps_TSS",0
"ENSG00000119508.18","orange","ENSG00000119508","NR4A3",FALSE,"NR4A3","protein_coding","chr9",99821855,99866891,"+",99821855,45037,TRUE,0,FALSE,NA,12798,"chr9_99808597_99809056_MLT1L","MLT1L","ERVL-MaLR","LTR_or_other",99808597,99809056,"-","upstream",-12798
"ENSG00000180875.5","yellow","ENSG00000180875","GREM2",FALSE,"GREM2","protein_coding","chr1",240489573,240612155,"-",240612155,122583,TRUE,0,FALSE,NA,6785,"chr1_240618941_240619247_MLT1I","MLT1I","ERVL-MaLR","LTR_or_other",240618941,240619247,"+","upstream",-6785
"ENSG00000133020.4","turquoise","ENSG00000133020","MYH8",FALSE,"MYH8","protein_coding","chr17",10390322,10421950,"-",10421950,31629,TRUE,0,FALSE,NA,2400,"chr17_10424351_10424478_MLT1J","MLT1J","ERVL-MaLR","LTR_or_other",10424351,10424478,"+","upstream",-2400
"ENSG00000172458.5","blue","ENSG00000172458","IL17D",FALSE,"IL17D","protein_coding","chr13",20703719,20723098,"+",20703719,19380,TRUE,0,FALSE,NA,7195,"chr13_20710915_20710982_MSTD","MSTD","ERVL-MaLR","LTR_or_other",20710915,20710982,"-","downstream",7195
"ENSG00000137968.17","grey","ENSG00000137968","SLC44A5",FALSE,"SLC44A5","protein_coding","chr1",75202129,75611114,"-",75611114,408986,TRUE,1,TRUE,"ERVL-MaLR",438,"chr1_75610464_75610675_MLT1F","MLT1F","ERVL-MaLR","LTR_or_other",75610464,75610675,"-","downstream",438
"ENSG00000278445.1","yellow","ENSG00000278445","ENSG00000278445",FALSE,"ENSG00000278445","lncRNA","chr13",102903339,102904000,"+",102903339,662,TRUE,0,FALSE,NA,5265,"chr13_102897651_102898073_LTR16A","LTR16A","ERVL","LTR_or_other",102897651,102898073,"-","upstream",-5265
