transcript_id	intModel	chr	start	end	strand	module
ERV316A3_10p11.1b	ERV3-16A3_I-int	chr10	38630974	38632555	+	turquoise
ERV316A3_10p11.21b	ERV3-16A3_I-int	chr10	35273618	35277559	-	turquoise
ERV316A3_10p11.21c	ERV3-16A3_I-int	chr10	36728483	36730084	-	turquoise
ERV316A3_10p11.21e	ERV3-16A3_I-int	chr10	37449302	37451140	+	turquoise
ERV316A3_10p11.21f	ERV3-16A3_I-int	chr10	37930138	37934250	-	turquoise
ERV316A3_10p11.22a	ERV3-16A3_I-int	chr10	31126525	31129023	-	turquoise
ERV316A3_10p11.22b	ERV3-16A3_I-int	chr10	31594473	31596944	+	turquoise
ERV316A3_10p11.22c	ERV3-16A3_I-int	chr10	32004895	32005791	+	turquoise
ERV316A3_10p11.22d	ERV3-16A3_I-int	chr10	32437173	32439055	-	turquoise
ERV316A3_10p11.22e	ERV3-16A3_I-int	chr10	33580589	33586855	-	turquoise
ERV316A3_10p12.1a	ERV3-16A3_I-int	chr10	28003642	28005566	-	turquoise
ERV316A3_10p12.1c	ERV3-16A3_I-int	chr10	28847784	28849979	+	turquoise
ERV316A3_10p12.2	ERV3-16A3_I-int	chr10	22422045	22425685	+	turquoise
ERV316A3_10p12.31	ERV3-16A3_I-int	chr10	22218395	22220897	+	turquoise
ERV316A3_10p12.33	ERV3-16A3_I-int	chr10	18006456	18008712	-	turquoise
ERV316A3_10p13a	ERV3-16A3_I-int	chr10	16234878	16236343	+	turquoise
ERV316A3_10p13b	ERV3-16A3_I-int	chr10	17250750	17255221	-	turquoise
ERV316A3_10p14a	ERV3-16A3_I-int	chr10	7813000	7816802	+	turquoise
ERV316A3_10p14b	ERV3-16A3_I-int	chr10	9755060	9759571	-	turquoise
ERV316A3_10p14c	ERV3-16A3_I-int	chr10	9807928	9809808	-	turquoise
ERV316A3_10p14d	ERV3-16A3_I-int	chr10	10122943	10125618	-	turquoise
ERV316A3_10p15.1c	ERV3-16A3_I-int	chr10	6077139	6079309	-	turquoise
ERV316A3_10p15.2	ERV3-16A3_I-int	chr10	3018193	3020902	+	turquoise
ERV316A3_10p15.3c	ERV3-16A3_I-int	chr10	2699376	2700731	+	turquoise
ERV316A3_10q11.21a	ERV3-16A3_I-int	chr10	42285279	42286834	-	turquoise
ERV316A3_10q11.22a	ERV3-16A3_I-int	chr10	47288922	47291726	-	turquoise
ERV316A3_10q11.22b	ERV3-16A3_I-int	chr10	47292217	47295677	-	turquoise
ERV316A3_10q11.23a	ERV3-16A3_I-int	chr10	49560163	49561809	+	turquoise
ERV316A3_10q11.23b	ERV3-16A3_I-int	chr10	50159947	50162451	+	turquoise
ERV316A3_10q11.23c	ERV3-16A3_I-int	chr10	50777832	50780339	-	turquoise
ERV316A3_10q21.1a	ERV3-16A3_I-int	chr10	53184226	53190464	-	turquoise
ERV316A3_10q21.1b	ERV3-16A3_I-int	chr10	55557450	55558494	+	turquoise
ERV316A3_10q21.1c	ERV3-16A3_I-int	chr10	55712206	55714124	-	turquoise
ERV316A3_10q21.1d	ERV3-16A3_I-int	chr10	56560477	56563122	+	turquoise
ERV316A3_10q21.1e	ERV3-16A3_I-int	chr10	56967253	56969230	-	turquoise
ERV316A3_10q21.2a	ERV3-16A3_I-int	chr10	61241817	61245921	-	turquoise
ERV316A3_10q21.2b	ERV3-16A3_I-int	chr10	61803476	61805156	-	turquoise
ERV316A3_10q21.3	ERV3-16A3_I-int	chr10	64387510	64388470	-	turquoise
ERV316A3_10q22.1a	ERV3-16A3_I-int	chr10	69105107	69112780	+	turquoise
ERV316A3_10q22.3a	ERV3-16A3_I-int	chr10	78150486	78158609	-	turquoise
ERV316A3_10q22.3b	ERV3-16A3_I-int	chr10	78822312	78828476	-	turquoise
ERV316A3_10q22.3c	ERV3-16A3_I-int	chr10	79319465	79322018	+	turquoise
ERV316A3_10q22.3d	ERV3-16A3_I-int	chr10	79754822	79756129	-	turquoise
ERV316A3_10q23.1a	ERV3-16A3_I-int	chr10	83176955	83180068	+	turquoise
ERV316A3_10q23.1b	ERV3-16A3_I-int	chr10	84723871	84724930	+	turquoise
ERV316A3_10q23.2a	ERV3-16A3_I-int	chr10	87276938	87278337	-	turquoise
ERV316A3_10q23.2b	ERV3-16A3_I-int	chr10	87459637	87460944	+	turquoise
ERV316A3_10q23.31a	ERV3-16A3_I-int	chr10	88452348	88453612	+	turquoise
ERV316A3_10q23.31b	ERV3-16A3_I-int	chr10	88592391	88593627	-	turquoise
ERV316A3_10q23.31c	ERV3-16A3_I-int	chr10	91099693	91102310	+	turquoise
ERV316A3_10q23.33	ERV3-16A3_I-int	chr10	95232500	95234121	-	turquoise
ERV316A3_10q24.2	ERV3-16A3_I-int	chr10	98770367	98772672	+	turquoise
ERV316A3_10q25.1a	ERV3-16A3_I-int	chr10	105445484	105452638	-	turquoise
ERV316A3_10q25.1b	ERV3-16A3_I-int	chr10	105453090	105453940	-	turquoise
ERV316A3_10q25.1d	ERV3-16A3_I-int	chr10	105956153	105960928	-	turquoise
ERV316A3_10q25.1e	ERV3-16A3_I-int	chr10	106209125	106211349	-	turquoise
ERV316A3_10q25.1f	ERV3-16A3_I-int	chr10	107232848	107238059	+	turquoise
ERV316A3_10q25.1g	ERV3-16A3_I-int	chr10	107358158	107363824	+	turquoise
ERV316A3_10q25.1h	ERV3-16A3_I-int	chr10	107641290	107646018	-	turquoise
ERV316A3_10q25.1j	ERV3-16A3_I-int	chr10	108231264	108234185	-	turquoise
ERV316A3_10q25.1k	ERV3-16A3_I-int	chr10	108639130	108641909	+	turquoise
ERV316A3_10q25.2b	ERV3-16A3_I-int	chr10	111634423	111635608	+	turquoise
ERV316A3_10q25.3b	ERV3-16A3_I-int	chr10	115249999	115253510	-	turquoise
ERV316A3_10q25.3c	ERV3-16A3_I-int	chr10	115524486	115527116	-	turquoise
ERV316A3_10q26.12	ERV3-16A3_I-int	chr10	121060523	121062902	+	turquoise
ERV316A3_11p11.2	ERV3-16A3_I-int	chr11	44492028	44495380	+	turquoise
ERV316A3_11p12a	ERV3-16A3_I-int	chr11	37373389	37375713	+	turquoise
ERV316A3_11p12b	ERV3-16A3_I-int	chr11	40562670	40565752	+	turquoise
ERV316A3_11p12c	ERV3-16A3_I-int	chr11	41879183	41883026	-	turquoise
ERV316A3_11p12d	ERV3-16A3_I-int	chr11	41981100	41982476	-	turquoise
ERV316A3_11p12e	ERV3-16A3_I-int	chr11	42653699	42658499	-	turquoise
ERV316A3_11p12f	ERV3-16A3_I-int	chr11	42788248	42789944	-	turquoise
ERV316A3_11p12g	ERV3-16A3_I-int	chr11	42324293	42330948	+	turquoise
ERV316A3_11p13b	ERV3-16A3_I-int	chr11	34846637	34850312	+	turquoise
ERV316A3_11p13c	ERV3-16A3_I-int	chr11	34865534	34870913	-	turquoise
ERV316A3_11p13d	ERV3-16A3_I-int	chr11	35533578	35535594	+	turquoise
ERV316A3_11p14.1a	ERV3-16A3_I-int	chr11	28611488	28612681	-	turquoise
ERV316A3_11p14.1b	ERV3-16A3_I-int	chr11	29677514	29678643	-	turquoise
ERV316A3_11p14.1c	ERV3-16A3_I-int	chr11	29822381	29823949	-	turquoise
ERV316A3_11p14.2	ERV3-16A3_I-int	chr11	26738715	26741356	+	turquoise
ERV316A3_11p14.3a	ERV3-16A3_I-int	chr11	23253188	23253713	-	turquoise
ERV316A3_11p14.3b	ERV3-16A3_I-int	chr11	24085149	24086950	+	turquoise
ERV316A3_11p14.3c	ERV3-16A3_I-int	chr11	24238039	24240680	-	turquoise
ERV316A3_11p14.3d	ERV3-16A3_I-int	chr11	24345209	24346052	+	turquoise
ERV316A3_11p14.3e	ERV3-16A3_I-int	chr11	25177486	25182878	+	turquoise
ERV316A3_11p14.3f	ERV3-16A3_I-int	chr11	25398239	25399314	+	turquoise
ERV316A3_11p14.3g	ERV3-16A3_I-int	chr11	25639149	25640433	+	turquoise
ERV316A3_11p15.2a	ERV3-16A3_I-int	chr11	14622139	14625891	+	turquoise
ERV316A3_11p15.2b	ERV3-16A3_I-int	chr11	15029452	15031131	+	turquoise
ERV316A3_11p15.3	ERV3-16A3_I-int	chr11	12947378	12949058	-	turquoise
ERV316A3_11p15.4a	ERV3-16A3_I-int	chr11	3920557	3921555	+	turquoise
ERV316A3_11p15.4b	ERV3-16A3_I-int	chr11	4550034	4550543	+	turquoise
ERV316A3_11p15.4c	ERV3-16A3_I-int	chr11	4554797	4558978	+	turquoise
ERV316A3_11p15.4d	ERV3-16A3_I-int	chr11	4570758	4571487	+	turquoise
ERV316A3_11p15.4e	ERV3-16A3_I-int	chr11	4898889	4902088	-	turquoise
ERV316A3_11p15.4f	ERV3-16A3_I-int	chr11	4977183	4978583	-	turquoise
ERV316A3_11p15.4g	ERV3-16A3_I-int	chr11	5739689	5741904	+	turquoise
ERV316A3_11p15.4h	ERV3-16A3_I-int	chr11	6380213	6381299	+	turquoise
ERV316A3_11p15.4i	ERV3-16A3_I-int	chr11	8008168	8011854	-	turquoise
ERV316A3_11q11	ERV3-16A3_I-int	chr11	55653653	55655396	-	turquoise
ERV316A3_11q12.1a	ERV3-16A3_I-int	chr11	56814563	56816937	+	turquoise
ERV316A3_11q12.3	ERV3-16A3_I-int	chr11	62863562	62866118	-	turquoise
ERV316A3_11q13.1b	ERV3-16A3_I-int	chr11	64451182	64458279	+	turquoise
ERV316A3_11q13.4a	ERV3-16A3_I-int	chr11	72458383	72458774	+	turquoise
