"gene","symbol_gtf","gene_type","chromosome","gene_start","gene_end","strand","gene_clean","TSS","gene_length"
"ENSG00000223972.5","DDX11L1","transcribed_unprocessed_pseudogene","chr1",11869,14403,"+","ENSG00000223972",11869,2535
"ENSG00000227232.5","WASH7P","unprocessed_pseudogene","chr1",14410,29553,"-","ENSG00000227232",29553,15144
"ENSG00000278267.1","MIR6859-1","miRNA","chr1",17369,17436,"-","ENSG00000278267",17436,68
"ENSG00000243485.5","MIR1302-2HG","lncRNA","chr1",29571,31109,"+","ENSG00000243485",29571,1539
"ENSG00000237613.2","FAM138A","lncRNA","chr1",34554,36081,"-","ENSG00000237613",36081,1528
"ENSG00000268020.3","OR4G4P","unprocessed_pseudogene","chr1",52473,53312,"+","ENSG00000268020",52473,840
"ENSG00000240361.2","OR4G11P","transcribed_unprocessed_pseudogene","chr1",57598,64116,"+","ENSG00000240361",57598,6519
"ENSG00000186092.7","OR4F5","protein_coding","chr1",65419,71585,"+","ENSG00000186092",65419,6167
"ENSG00000238009.6","ENSG00000238009","lncRNA","chr1",89295,129223,"-","ENSG00000238009",129223,39929
"ENSG00000233750.3","CICP27","processed_pseudogene","chr1",131025,134836,"+","ENSG00000233750",131025,3812
"ENSG00000268903.1","ENSG00000268903","processed_pseudogene","chr1",135141,135895,"-","ENSG00000268903",135895,755
"ENSG00000269981.1","ENSG00000269981","processed_pseudogene","chr1",137682,137965,"-","ENSG00000269981",137965,284
"ENSG00000239906.1","ENSG00000239906","lncRNA","chr1",139790,140339,"-","ENSG00000239906",140339,550
"ENSG00000241860.7","ENSG00000241860","lncRNA","chr1",141474,173862,"-","ENSG00000241860",173862,32389
"ENSG00000222623.1","RNU6-1100P","snRNA","chr1",157784,157887,"-","ENSG00000222623",157887,104
"ENSG00000241599.1","ENSG00000241599","lncRNA","chr1",160446,161525,"+","ENSG00000241599",160446,1080
"ENSG00000279928.2","DDX11L17","unprocessed_pseudogene","chr1",182696,184174,"+","ENSG00000279928",182696,1479
"ENSG00000279457.4","WASH9P","unprocessed_pseudogene","chr1",185217,195411,"-","ENSG00000279457",195411,10195
"ENSG00000273874.1","MIR6859-2","miRNA","chr1",187891,187958,"-","ENSG00000273874",187958,68
"ENSG00000228463.10","ENSG00000228463","transcribed_processed_pseudogene","chr1",257864,359681,"-","ENSG00000228463",359681,101818
"ENSG00000286448.1","ENSG00000286448","lncRNA","chr1",268205,268655,"+","ENSG00000286448",268205,451
"ENSG00000236679.2","RPL23AP24","processed_pseudogene","chr1",347982,348366,"-","ENSG00000236679",348366,385
"ENSG00000236601.2","ENSG00000236601","lncRNA","chr1",358857,366018,"+","ENSG00000236601",358857,7162
"ENSG00000237094.12","ENSG00000237094","transcribed_unprocessed_pseudogene","chr1",366053,522928,"-","ENSG00000237094",522928,156876
"ENSG00000269732.1","WBP1LP7","processed_pseudogene","chr1",439870,440232,"+","ENSG00000269732",439870,363
"ENSG00000284733.2","OR4F29","protein_coding","chr1",450740,451678,"-","ENSG00000284733",451678,939
"ENSG00000233653.3","CICP7","processed_pseudogene","chr1",487101,489906,"+","ENSG00000233653",487101,2806
"ENSG00000250575.1","ENSG00000250575","unprocessed_pseudogene","chr1",491225,493241,"-","ENSG00000250575",493241,2017
"ENSG00000278757.1","U6","snRNA","chr1",516376,516479,"-","ENSG00000278757",516479,104
"ENSG00000230021.10","ENSG00000230021","transcribed_processed_pseudogene","chr1",586071,733064,"-","ENSG00000230021",733064,146994
"ENSG00000235146.2","ENSG00000235146","lncRNA","chr1",587629,594768,"+","ENSG00000235146",587629,7140
"ENSG00000225972.1","MTND1P23","unprocessed_pseudogene","chr1",629062,629433,"+","ENSG00000225972",629062,372
"ENSG00000225630.1","MTND2P28","unprocessed_pseudogene","chr1",629640,630683,"+","ENSG00000225630",629640,1044
"ENSG00000237973.1","MTCO1P12","unprocessed_pseudogene","chr1",631074,632616,"+","ENSG00000237973",631074,1543
"ENSG00000229344.1","MTCO2P12","unprocessed_pseudogene","chr1",632757,633438,"+","ENSG00000229344",632757,682
"ENSG00000240409.1","MTATP8P1","unprocessed_pseudogene","chr1",633535,633695,"+","ENSG00000240409",633535,161
"ENSG00000248527.1","MTATP6P1","unprocessed_pseudogene","chr1",633742,634375,"+","ENSG00000248527",633742,634
"ENSG00000198744.5","MTCO3P12","unprocessed_pseudogene","chr1",634377,634922,"+","ENSG00000198744",634377,546
"ENSG00000268663.1","WBP1LP6","processed_pseudogene","chr1",674842,675265,"+","ENSG00000268663",674842,424
"ENSG00000284662.2","OR4F16","protein_coding","chr1",685716,686654,"-","ENSG00000284662",686654,939
"ENSG00000229376.3","CICP3","processed_pseudogene","chr1",722092,724903,"+","ENSG00000229376",722092,2812
"ENSG00000228327.4","ENSG00000228327","transcribed_unprocessed_pseudogene","chr1",725885,778669,"-","ENSG00000228327",778669,52785
"ENSG00000223181.1","RNU6-1199P","snRNA","chr1",758233,758336,"-","ENSG00000223181",758336,104
"ENSG00000229905.1","ENSG00000229905","lncRNA","chr1",760911,761989,"+","ENSG00000229905",760911,1079
"ENSG00000237491.10","LINC01409","lncRNA","chr1",778747,810065,"+","ENSG00000237491",778747,31319
"ENSG00000230092.7","ENSG00000230092","transcribed_unprocessed_pseudogene","chr1",800879,810170,"-","ENSG00000230092",810170,9292
"ENSG00000177757.2","FAM87B","lncRNA","chr1",817371,819837,"+","ENSG00000177757",817371,2467
"ENSG00000228794.11","LINC01128","lncRNA","chr1",825138,859446,"+","ENSG00000228794",825138,34309
"ENSG00000225880.5","LINC00115","lncRNA","chr1",826206,827522,"-","ENSG00000225880",827522,1317
"ENSG00000288531.1","ENSG00000288531","lncRNA","chr1",860226,868070,"+","ENSG00000288531",860226,7845
"ENSG00000230368.2","FAM41C","lncRNA","chr1",868203,876754,"-","ENSG00000230368",876754,8552
"ENSG00000234711.1","TUBB8P11","unprocessed_pseudogene","chr1",873292,874111,"+","ENSG00000234711",873292,820
"ENSG00000283040.1","ENSG00000283040","transcribed_unprocessed_pseudogene","chr1",875526,877234,"-","ENSG00000283040",877234,1709
"ENSG00000272438.1","ENSG00000272438","lncRNA","chr1",904834,915976,"+","ENSG00000272438",904834,11143
"ENSG00000230699.2","ENSG00000230699","lncRNA","chr1",911435,914802,"+","ENSG00000230699",911435,3368
"ENSG00000241180.1","ENSG00000241180","lncRNA","chr1",914949,914971,"+","ENSG00000241180",914949,23
"ENSG00000223764.2","LINC02593","lncRNA","chr1",916870,919692,"-","ENSG00000223764",919692,2823
"ENSG00000187634.13","SAMD11","protein_coding","chr1",923923,944202,"+","ENSG00000187634",923923,20280
"ENSG00000188976.11","NOC2L","protein_coding","chr1",944576,959309,"-","ENSG00000188976",959309,14734
"ENSG00000187961.15","KLHL17","protein_coding","chr1",960584,965719,"+","ENSG00000187961",960584,5136
"ENSG00000187583.11","PLEKHN1","protein_coding","chr1",966482,975203,"+","ENSG00000187583",966482,8722
"ENSG00000187642.9","PERM1","protein_coding","chr1",975866,982093,"-","ENSG00000187642",982093,6228
"ENSG00000272512.1","ENSG00000272512","lncRNA","chr1",995966,998051,"-","ENSG00000272512",998051,2086
"ENSG00000188290.11","HES4","protein_coding","chr1",998962,1000172,"-","ENSG00000188290",1000172,1211
"ENSG00000187608.10","ISG15","protein_coding","chr1",1001138,1014540,"+","ENSG00000187608",1001138,13403
"ENSG00000231702.2","ENSG00000231702","processed_pseudogene","chr1",1008076,1008193,"-","ENSG00000231702",1008193,118
"ENSG00000224969.1","ENSG00000224969","lncRNA","chr1",1011997,1013193,"-","ENSG00000224969",1013193,1197
"ENSG00000188157.15","AGRN","protein_coding","chr1",1020120,1056118,"+","ENSG00000188157",1020120,35999
"ENSG00000217801.11","ENSG00000217801","transcribed_unprocessed_pseudogene","chr1",1059687,1069355,"+","ENSG00000217801",1059687,9669
"ENSG00000273443.1","ENSG00000273443","lncRNA","chr1",1062208,1063288,"-","ENSG00000273443",1063288,1081
"ENSG00000237330.3","RNF223","protein_coding","chr1",1070967,1074306,"-","ENSG00000237330",1074306,3340
"ENSG00000131591.18","C1orf159","protein_coding","chr1",1081818,1116361,"-","ENSG00000131591",1116361,34544
"ENSG00000285812.1","ENSG00000285812","lncRNA","chr1",1097585,1104598,"+","ENSG00000285812",1097585,7014
"ENSG00000223823.1","LINC01342","lncRNA","chr1",1137017,1144056,"+","ENSG00000223823",1137017,7040
"ENSG00000207730.3","MIR200B","miRNA","chr1",1167104,1167198,"+","ENSG00000207730",1167104,95
"ENSG00000207607.3","MIR200A","miRNA","chr1",1167863,1167952,"+","ENSG00000207607",1167863,90
"ENSG00000198976.1","MIR429","miRNA","chr1",1169005,1169087,"+","ENSG00000198976",1169005,83
"ENSG00000272141.1","ENSG00000272141","lncRNA","chr1",1169357,1170343,"+","ENSG00000272141",1169357,987
"ENSG00000205231.1","TTLL10-AS1","lncRNA","chr1",1173056,1179555,"-","ENSG00000205231",1179555,6500
"ENSG00000162571.14","TTLL10","protein_coding","chr1",1179189,1197936,"+","ENSG00000162571",1179189,18748
"ENSG00000186891.14","TNFRSF18","protein_coding","chr1",1203508,1206592,"-","ENSG00000186891",1206592,3085
"ENSG00000186827.11","TNFRSF4","protein_coding","chr1",1211340,1214153,"-","ENSG00000186827",1214153,2814
"ENSG00000078808.19","SDF4","protein_coding","chr1",1216909,1232067,"-","ENSG00000078808",1232067,15159
"ENSG00000176022.7","B3GALT6","protein_coding","chr1",1232237,1235041,"+","ENSG00000176022",1232237,2805
"ENSG00000184163.3","C1QTNF12","protein_coding","chr1",1242453,1246722,"-","ENSG00000184163",1246722,4270
"ENSG00000260179.1","ENSG00000260179","lncRNA","chr1",1249777,1251334,"-","ENSG00000260179",1251334,1558
"ENSG00000160087.21","UBE2J2","protein_coding","chr1",1253909,1273864,"-","ENSG00000160087",1273864,19956
"ENSG00000230415.1","LINC01786","lncRNA","chr1",1275223,1280420,"+","ENSG00000230415",1275223,5198
"ENSG00000162572.21","SCNN1D","protein_coding","chr1",1280436,1292029,"+","ENSG00000162572",1280436,11594
"ENSG00000131584.19","ACAP3","protein_coding","chr1",1292391,1307930,"-","ENSG00000131584",1307930,15540
"ENSG00000278073.1","MIR6726","miRNA","chr1",1296110,1296170,"-","ENSG00000278073",1296170,61
"ENSG00000169972.12","PUSL1","protein_coding","chr1",1308597,1311584,"+","ENSG00000169972",1308597,2988
"ENSG00000127054.22","INTS11","protein_coding","chr1",1311678,1324687,"-","ENSG00000127054",1324687,13010
"ENSG00000283712.1","MIR6727","miRNA","chr1",1312502,1312566,"-","ENSG00000283712",1312566,65
"ENSG00000240731.1","ENSG00000240731","lncRNA","chr1",1317581,1318678,"-","ENSG00000240731",1318678,1098
"ENSG00000224051.7","CPTP","protein_coding","chr1",1324756,1328896,"+","ENSG00000224051",1324756,4141
"ENSG00000169962.5","TAS1R3","protein_coding","chr1",1331280,1335275,"+","ENSG00000169962",1331280,3996
"ENSG00000107404.21","DVL1","protein_coding","chr1",1335315,1349418,"-","ENSG00000107404",1349418,14104
"ENSG00000284372.1","MIR6808","miRNA","chr1",1339650,1339708,"-","ENSG00000284372",1339708,59
"ENSG00000162576.17","MXRA8","protein_coding","chr1",1352689,1361777,"-","ENSG00000162576",1361777,9089
"ENSG00000175756.14","AURKAIP1","protein_coding","chr1",1373730,1375207,"-","ENSG00000175756",1375207,1478
"ENSG00000223663.2","NDUFB4P8","processed_pseudogene","chr1",1378666,1379032,"+","ENSG00000223663",1378666,367
"ENSG00000221978.13","CCNL2","protein_coding","chr1",1385711,1399335,"-","ENSG00000221978",1399335,13625
"ENSG00000224870.8","MRPL20-AS1","lncRNA","chr1",1399515,1401908,"+","ENSG00000224870",1399515,2394
"ENSG00000242485.6","MRPL20","protein_coding","chr1",1402047,1407293,"-","ENSG00000242485",1407293,5247
"ENSG00000272455.1","MRPL20-DT","lncRNA","chr1",1409096,1410618,"+","ENSG00000272455",1409096,1523
"ENSG00000235098.9","ANKRD65","protein_coding","chr1",1418420,1421769,"-","ENSG00000235098",1421769,3350
"ENSG00000225905.1","ENSG00000225905","lncRNA","chr1",1422469,1422691,"+","ENSG00000225905",1422469,223
"ENSG00000205116.4","TMEM88B","protein_coding","chr1",1425871,1430255,"+","ENSG00000205116",1425871,4385
"ENSG00000225285.1","LINC01770","lncRNA","chr1",1430539,1434573,"-","ENSG00000225285",1434573,4035
"ENSG00000179403.12","VWA1","protein_coding","chr1",1434861,1442882,"+","ENSG00000179403",1434861,8022
"ENSG00000215915.10","ATAD3C","protein_coding","chr1",1449689,1470163,"+","ENSG00000215915",1449689,20475
"ENSG00000160072.20","ATAD3B","protein_coding","chr1",1471765,1497848,"+","ENSG00000160072",1471765,26084
"ENSG00000284740.2","ENSG00000284740","transcribed_unprocessed_pseudogene","chr1",1503250,1509466,"+","ENSG00000284740",1503250,6217
"ENSG00000197785.14","ATAD3A","protein_coding","chr1",1512162,1534685,"+","ENSG00000197785",1512162,22524
"ENSG00000205090.9","TMEM240","protein_coding","chr1",1534778,1540624,"-","ENSG00000205090",1540624,5847
"ENSG00000160075.12","SSU72","protein_coding","chr1",1541673,1574863,"-","ENSG00000160075",1574863,33191
"ENSG00000215014.5","ENSG00000215014","lncRNA","chr1",1574102,1575879,"+","ENSG00000215014",1574102,1778
"ENSG00000274481.1","ENSG00000274481","processed_pseudogene","chr1",1583510,1583909,"-","ENSG00000274481",1583909,400
"ENSG00000228594.4","FNDC10","protein_coding","chr1",1598012,1600135,"-","ENSG00000228594",1600135,2124
