"gene","module","gene_clean","symbol","is_GenAge","symbol_gtf","gene_type","chromosome","gene_start","gene_end","strand","TSS","gene_length"
"ENSG00000134184.13","grey","ENSG00000134184","GSTM1",FALSE,"GSTM1","protein_coding","chr1",109687814,109693745,"+",109687814,5932
"ENSG00000149968.12","brown","ENSG00000149968","MMP3",FALSE,"MMP3","protein_coding","chr11",102835801,102843609,"-",102843609,7809
"ENSG00000288777.1","grey","ENSG00000288777","ENSG00000288777",FALSE,"ENSG00000288777","lncRNA","chr22",35603958,35604880,"-",35604880,923
"ENSG00000115221.12","blue","ENSG00000115221","ITGB6",FALSE,"ITGB6","protein_coding","chr2",160099667,160200313,"-",160200313,100647
"ENSG00000265142.9","blue","ENSG00000265142","MIR133A1HG",FALSE,"MIR133A1HG","lncRNA","chr18",21825487,21831539,"-",21831539,6053
"ENSG00000173432.13","black","ENSG00000173432","SAA1",FALSE,"SAA1","protein_coding","chr11",18266260,18269977,"+",18266260,3718
"ENSG00000134339.9","black","ENSG00000134339","SAA2",FALSE,"SAA2","protein_coding","chr11",18239223,18248668,"-",18248668,9446
"ENSG00000248746.6","yellow","ENSG00000248746","ACTN3",FALSE,"ACTN3","protein_coding","chr11",66546395,66563334,"+",66546395,16940
"ENSG00000133048.13","black","ENSG00000133048","CHI3L1",FALSE,"CHI3L1","protein_coding","chr1",203178931,203186704,"-",203186704,7774
"ENSG00000129170.10","blue","ENSG00000129170","CSRP3",FALSE,"CSRP3","protein_coding","chr11",19182030,19210571,"-",19210571,28542
"ENSG00000272021.1","brown","ENSG00000272021","ENSG00000272021",FALSE,"ENSG00000272021","lncRNA","chr5",95849309,95849855,"+",95849309,547
"ENSG00000231806.4","blue","ENSG00000231806","PCAT7",FALSE,"PCAT7","lncRNA","chr9",94555054,94603990,"+",94555054,48937
"ENSG00000196136.18","black","ENSG00000196136","SERPINA3",FALSE,"SERPINA3","protein_coding","chr14",94612384,94624055,"+",94612384,11672
"ENSG00000236882.8","brown","ENSG00000236882","LINC01554",FALSE,"LINC01554","lncRNA","chr5",95838245,95860133,"+",95838245,21889
"ENSG00000145949.11","tan","ENSG00000145949","MYLK4",FALSE,"MYLK4","protein_coding","chr6",2663629,2750922,"-",2750922,87294
"ENSG00000124107.5","brown","ENSG00000124107","SLPI",FALSE,"SLPI","protein_coding","chr20",45252239,45254564,"-",45254564,2326
"ENSG00000128965.13","brown","ENSG00000128965","CHAC1",FALSE,"CHAC1","protein_coding","chr15",40952962,40956512,"+",40952962,3551
"ENSG00000174611.12","blue","ENSG00000174611","KY",FALSE,"KY","protein_coding","chr3",134599923,134651022,"-",134651022,51100
"ENSG00000214097.5","blue","ENSG00000214097","SMCO1",FALSE,"SMCO1","protein_coding","chr3",196506879,196515346,"-",196515346,8468
"ENSG00000289456.1","brown","ENSG00000289456","ENSG00000289456",FALSE,"ENSG00000289456","lncRNA","chr6",35563135,35566952,"-",35566952,3818
"ENSG00000188488.14","grey60","ENSG00000188488","SERPINA5",FALSE,"SERPINA5","protein_coding","chr14",94578706,94593118,"+",94578706,14413
"ENSG00000119508.18","orange","ENSG00000119508","NR4A3",FALSE,"NR4A3","protein_coding","chr9",99821855,99866891,"+",99821855,45037
"ENSG00000180875.5","yellow","ENSG00000180875","GREM2",FALSE,"GREM2","protein_coding","chr1",240489573,240612155,"-",240612155,122583
"ENSG00000133020.4","turquoise","ENSG00000133020","MYH8",FALSE,"MYH8","protein_coding","chr17",10390322,10421950,"-",10421950,31629
"ENSG00000172458.5","blue","ENSG00000172458","IL17D",FALSE,"IL17D","protein_coding","chr13",20703719,20723098,"+",20703719,19380
"ENSG00000137968.17","grey","ENSG00000137968","SLC44A5",FALSE,"SLC44A5","protein_coding","chr1",75202129,75611114,"-",75611114,408986
"ENSG00000278445.1","yellow","ENSG00000278445","ENSG00000278445",FALSE,"ENSG00000278445","lncRNA","chr13",102903339,102904000,"+",102903339,662
"ENSG00000178055.13","blue","ENSG00000178055","PRSS42P",FALSE,"PRSS42P","transcribed_unitary_pseudogene","chr3",46829542,46834095,"-",46834095,4554
"ENSG00000157087.20","blue","ENSG00000157087","ATP2B2",FALSE,"ATP2B2","protein_coding","chr3",10324023,10708007,"-",10708007,383985
"ENSG00000134240.12","yellow","ENSG00000134240","HMGCS2",FALSE,"HMGCS2","protein_coding","chr1",119748002,119768905,"-",119768905,20904
"ENSG00000214970.8","yellow","ENSG00000214970","ENSG00000214970",FALSE,"ENSG00000214970","lncRNA","chr17",10579040,10623036,"+",10579040,43997
"ENSG00000160808.11","yellow","ENSG00000160808","MYL3",FALSE,"MYL3","protein_coding","chr3",46835111,46882172,"-",46882172,47062
"ENSG00000116285.13","brown","ENSG00000116285","ERRFI1",FALSE,"ERRFI1","protein_coding","chr1",8011727,8026309,"-",8026309,14583
"ENSG00000141579.7","grey60","ENSG00000141579","ZNF750",FALSE,"ZNF750","protein_coding","chr17",82829434,82840022,"-",82840022,10589
"ENSG00000144644.15","blue","ENSG00000144644","GADL1",FALSE,"GADL1","protein_coding","chr3",30726197,30894661,"-",30894661,168465
"ENSG00000142178.9","grey","ENSG00000142178","SIK1",FALSE,"SIK1","protein_coding","chr21",43414483,43427131,"-",43427131,12649
"ENSG00000204460.3","yellow","ENSG00000204460","LINC01854",FALSE,"LINC01854","lncRNA","chr2",129242173,129273848,"-",129273848,31676
"ENSG00000149575.9","blue","ENSG00000149575","SCN2B",FALSE,"SCN2B","protein_coding","chr11",118162806,118176639,"-",118176639,13834
"ENSG00000235263.1","brown","ENSG00000235263","ENSG00000235263",FALSE,"ENSG00000235263","lncRNA","chr1",9501092,9503471,"-",9503471,2380
"ENSG00000170477.13","skyblue","ENSG00000170477","KRT4",FALSE,"KRT4","protein_coding","chr12",52806549,52814116,"-",52814116,7568
"ENSG00000075702.19","blue","ENSG00000075702","WDR62",FALSE,"WDR62","protein_coding","chr19",36054881,36105108,"+",36054881,50228
"ENSG00000189350.13","brown","ENSG00000189350","TOGARAM2",FALSE,"TOGARAM2","protein_coding","chr2",28956611,29052230,"+",28956611,95620
"ENSG00000164879.7","blue","ENSG00000164879","CA3",FALSE,"CA3","protein_coding","chr8",85373436,85449040,"+",85373436,75605
"ENSG00000235295.2","blue","ENSG00000235295","LINC01634",FALSE,"LINC01634","lncRNA","chr22",18029385,18037970,"+",18029385,8586
"ENSG00000148677.7","lightcyan","ENSG00000148677","ANKRD1",FALSE,"ANKRD1","protein_coding","chr10",90912096,90921087,"-",90921087,8992
"ENSG00000286619.1","grey","ENSG00000286619","ENSG00000286619",FALSE,"ENSG00000286619","lncRNA","chr1",205813322,205896082,"+",205813322,82761
"ENSG00000171401.15","skyblue","ENSG00000171401","KRT13",FALSE,"KRT13","protein_coding","chr17",41500981,41505705,"-",41505705,4725
"ENSG00000078814.18","blue","ENSG00000078814","MYH7B",FALSE,"MYH7B","protein_coding","chr20",34955868,35002403,"+",34955868,46536
"ENSG00000182177.15","blue","ENSG00000182177","ASB18",FALSE,"ASB18","protein_coding","chr2",236193459,236264409,"-",236264409,70951
"ENSG00000285155.1","blue","ENSG00000285155","ENSG00000285155",FALSE,"ENSG00000285155","lncRNA","chr2",160200773,160253849,"-",160253849,53077
"ENSG00000188933.16","grey","ENSG00000188933","USP32P1",FALSE,"USP32P1","transcribed_unprocessed_pseudogene","chr17",16786489,16804455,"+",16786489,17967
"ENSG00000281344.1","black","ENSG00000281344","HELLPAR",FALSE,"HELLPAR","lncRNA","chr12",102197834,102402596,"+",102197834,204763
"ENSG00000112096.19","brown","ENSG00000112096","SOD2",TRUE,"SOD2","protein_coding","chr6",159669069,159745186,"-",159745186,76118
"ENSG00000185271.9","blue","ENSG00000185271","KLHL33",FALSE,"KLHL33","protein_coding","chr14",20425852,20436166,"-",20436166,10315
"ENSG00000096060.15","brown","ENSG00000096060","FKBP5",FALSE,"FKBP5","protein_coding","chr6",35573585,35728583,"-",35728583,154999
"ENSG00000227827.3","grey","ENSG00000227827","PKD1P2",FALSE,"PKD1P2","unprocessed_pseudogene","chr16",16356224,16377507,"+",16356224,21284
"ENSG00000273906.1","grey","ENSG00000273906","ENSG00000273906",FALSE,"ENSG00000273906","lncRNA","chrY",6918682,6920791,"+",6918682,2110
"ENSG00000123689.6","yellow","ENSG00000123689","G0S2",FALSE,"G0S2","protein_coding","chr1",209675412,209676390,"+",209675412,979
"ENSG00000271959.1","turquoise","ENSG00000271959","ENSG00000271959",FALSE,"ENSG00000271959","lncRNA","chr8",141434545,141437954,"+",141434545,3410
"ENSG00000235070.3","blue","ENSG00000235070","ENSG00000235070",FALSE,"ENSG00000235070","lncRNA","chr2",226180044,226185371,"-",226185371,5328
"ENSG00000185847.9","yellow","ENSG00000185847","LINC01405",FALSE,"LINC01405","lncRNA","chr12",110934590,110959093,"+",110934590,24504
"ENSG00000156802.13","brown","ENSG00000156802","ATAD2",FALSE,"ATAD2","protein_coding","chr8",123319850,123416350,"-",123416350,96501
"ENSG00000223784.2","blue","ENSG00000223784","LINP1",FALSE,"LINP1","lncRNA","chr10",6709530,6740532,"+",6709530,31003
"ENSG00000204983.15","white","ENSG00000204983","PRSS1",FALSE,"PRSS1","protein_coding","chr7",142749468,142753072,"+",142749468,3605
"ENSG00000279668.3","yellow","ENSG00000279668","ENSG00000279668",FALSE,"ENSG00000279668","lncRNA","chr17",33827699,34079100,"-",34079100,251402
"ENSG00000226074.5","blue","ENSG00000226074","PRSS44P",FALSE,"PRSS44P","transcribed_unitary_pseudogene","chr3",46809359,46812486,"-",46812486,3128
"ENSG00000275896.7","white","ENSG00000275896","PRSS2",FALSE,"PRSS2","protein_coding","chr7",142760398,142774564,"+",142760398,14167
"ENSG00000129173.13","blue","ENSG00000129173","E2F8",FALSE,"E2F8","protein_coding","chr11",19224063,19241620,"-",19241620,17558
"ENSG00000286651.2","blue","ENSG00000286651","PRSS43P",FALSE,"PRSS43P","transcribed_unitary_pseudogene","chr3",46753045,46756857,"-",46756857,3813
"ENSG00000204099.12","grey60","ENSG00000204099","NEU4",FALSE,"NEU4","protein_coding","chr2",241809807,241817413,"+",241809807,7607
"ENSG00000283709.1","blue","ENSG00000283709","FAM238C",FALSE,"FAM238C","transcribed_unprocessed_pseudogene","chr10",26931206,26944418,"-",26944418,13213
"ENSG00000129988.6","lightcyan","ENSG00000129988","LBP",FALSE,"LBP","protein_coding","chr20",38346482,38377013,"+",38346482,30532
"ENSG00000143127.13","brown","ENSG00000143127","ITGA10",FALSE,"ITGA10","protein_coding","chr1",145891208,145910090,"-",145910090,18883
"ENSG00000171885.18","yellow","ENSG00000171885","AQP4",FALSE,"AQP4","protein_coding","chr18",26852043,26865771,"-",26865771,13729
"ENSG00000166741.8","black","ENSG00000166741","NNMT",FALSE,"NNMT","protein_coding","chr11",114257787,114313536,"+",114257787,55750
"ENSG00000185105.5","blue","ENSG00000185105","MYADML2",FALSE,"MYADML2","protein_coding","chr17",81939645,81947137,"-",81947137,7493
"ENSG00000105664.11","darkgrey","ENSG00000105664","COMP",FALSE,"COMP","protein_coding","chr19",18782773,18791305,"-",18791305,8533
"ENSG00000170160.18","grey","ENSG00000170160","CCDC144A",FALSE,"CCDC144A","protein_coding","chr17",16689537,16777881,"+",16689537,88345
"ENSG00000188037.14","blue","ENSG00000188037","CLCN1",FALSE,"CLCN1","protein_coding","chr7",143316111,143352083,"+",143316111,35973
"ENSG00000164434.12","tan","ENSG00000164434","FABP7",FALSE,"FABP7","protein_coding","chr6",122779716,122784074,"+",122779716,4359
"ENSG00000270765.7","yellow","ENSG00000270765","GAS2L2",FALSE,"GAS2L2","protein_coding","chr17",35744511,35753239,"-",35753239,8729
"ENSG00000226094.1","blue","ENSG00000226094","RPL7P3",FALSE,"RPL7P3","processed_pseudogene","chr20",62572671,62573384,"+",62572671,714
"ENSG00000181016.9","blue","ENSG00000181016","LSMEM1",FALSE,"LSMEM1","protein_coding","chr7",112481018,112491062,"+",112481018,10045
"ENSG00000048052.24","blue","ENSG00000048052","HDAC9",FALSE,"HDAC9","protein_coding","chr7",18086949,19002416,"+",18086949,915468
"ENSG00000285774.4","blue","ENSG00000285774","ENSG00000285774",FALSE,"ENSG00000285774","lncRNA","chr14",54684026,54729307,"-",54729307,45282
"ENSG00000188257.12","green","ENSG00000188257","PLA2G2A",FALSE,"PLA2G2A","protein_coding","chr1",19975431,19980416,"-",19980416,4986
"ENSG00000149926.14","yellow","ENSG00000149926","TLCD3B",FALSE,"TLCD3B","protein_coding","chr16",30024705,30052978,"-",30052978,28274
"ENSG00000234438.5","blue","ENSG00000234438","KBTBD13",FALSE,"KBTBD13","protein_coding","chr15",65076746,65079948,"+",65076746,3203
"ENSG00000224614.2","brown","ENSG00000224614","TNK2-AS1",FALSE,"TNK2-AS1","lncRNA","chr3",195908076,195913986,"+",195908076,5911
"ENSG00000115112.8","brown","ENSG00000115112","TFCP2L1",FALSE,"TFCP2L1","protein_coding","chr2",121216587,121285202,"-",121285202,68616
"ENSG00000171388.12","blue","ENSG00000171388","APLN",FALSE,"APLN","protein_coding","chrX",129645259,129654956,"-",129654956,9698
"ENSG00000171246.6","grey","ENSG00000171246","NPTX1",FALSE,"NPTX1","protein_coding","chr17",80466834,80477843,"-",80477843,11010
"ENSG00000261175.6","yellow","ENSG00000261175","LINC02188",FALSE,"LINC02188","lncRNA","chr16",86710122,86742083,"+",86710122,31962
"ENSG00000116690.13","green","ENSG00000116690","PRG4",FALSE,"PRG4","protein_coding","chr1",186296279,186314567,"+",186296279,18289
"ENSG00000108551.5","brown","ENSG00000108551","RASD1",FALSE,"RASD1","protein_coding","chr17",17494437,17496395,"-",17496395,1959
"ENSG00000197299.13","brown","ENSG00000197299","BLM",TRUE,"BLM","protein_coding","chr15",90717346,90816166,"+",90717346,98821
"ENSG00000169885.10","yellow","ENSG00000169885","CALML6",FALSE,"CALML6","protein_coding","chr1",1915108,1917296,"+",1915108,2189
"ENSG00000133055.10","steelblue","ENSG00000133055","MYBPH",FALSE,"MYBPH","protein_coding","chr1",203167811,203175826,"-",203175826,8016
"ENSG00000236208.2","blue","ENSG00000236208","C10orf71-AS1",FALSE,"C10orf71-AS1","lncRNA","chr10",49296112,49299018,"-",49299018,2907
"ENSG00000237372.4","brown","ENSG00000237372","ENSG00000237372",FALSE,"ENSG00000237372","lncRNA","chr9",89639814,89719759,"+",89639814,79946
"ENSG00000111241.3","blue","ENSG00000111241","FGF6",FALSE,"FGF6","protein_coding","chr12",4428155,4445815,"-",4445815,17661
"ENSG00000141526.18","grey60","ENSG00000141526","SLC16A3",FALSE,"SLC16A3","protein_coding","chr17",82217934,82261129,"+",82217934,43196
"ENSG00000189221.11","brown","ENSG00000189221","MAOA",FALSE,"MAOA","protein_coding","chrX",43654907,43746817,"+",43654907,91911
"ENSG00000004799.8","brown","ENSG00000004799","PDK4",FALSE,"PDK4","protein_coding","chr7",95583499,95596516,"-",95596516,13018
"ENSG00000179796.12","grey","ENSG00000179796","LRRC3B",FALSE,"LRRC3B","protein_coding","chr3",26622944,26717537,"+",26622944,94594
"ENSG00000163395.17","grey","ENSG00000163395","IGFN1",FALSE,"IGFN1","protein_coding","chr1",201190824,201228952,"+",201190824,38129
"ENSG00000239388.9","blue","ENSG00000239388","ASB14",FALSE,"ASB14","protein_coding","chr3",57268342,57292685,"-",57292685,24344
"ENSG00000101542.10","brown","ENSG00000101542","CDH20",FALSE,"CDH20","protein_coding","chr18",61333430,61555779,"+",61333430,222350
"ENSG00000115386.6","white","ENSG00000115386","REG1A",FALSE,"REG1A","protein_coding","chr2",79120488,79123409,"+",79120488,2922
"ENSG00000226306.7","blue","ENSG00000226306","NPY6R",FALSE,"NPY6R","transcribed_unitary_pseudogene","chr5",137801193,137809779,"+",137801193,8587
"ENSG00000165887.12","grey60","ENSG00000165887","ANKRD2",FALSE,"ANKRD2","protein_coding","chr10",97572499,97583884,"+",97572499,11386
"ENSG00000118298.12","yellow","ENSG00000118298","CA14",FALSE,"CA14","protein_coding","chr1",150257287,150265078,"+",150257287,7792
"ENSG00000041982.16","turquoise","ENSG00000041982","TNC",FALSE,"TNC","protein_coding","chr9",115019575,115118257,"-",115118257,98683
"ENSG00000142789.20","white","ENSG00000142789","CELA3A",FALSE,"CELA3A","protein_coding","chr1",22001657,22012542,"+",22001657,10886
"ENSG00000172824.16","brown","ENSG00000172824","CES4A",FALSE,"CES4A","protein_coding","chr16",66988589,67009758,"+",66988589,21170
"ENSG00000263934.5","blue","ENSG00000263934","SNORD3A",FALSE,"SNORD3A","snoRNA","chr17",19188016,19188714,"+",19188016,699
"ENSG00000171819.5","darkgreen","ENSG00000171819","ANGPTL7",FALSE,"ANGPTL7","protein_coding","chr1",11189355,11195981,"+",11189355,6627
"ENSG00000250978.5","brown","ENSG00000250978","ENSG00000250978",FALSE,"ENSG00000250978","lncRNA","chr5",67463809,67475477,"-",67475477,11669
"ENSG00000113389.16","grey","ENSG00000113389","NPR3",FALSE,"NPR3","protein_coding","chr5",32689070,32791724,"+",32689070,102655
"ENSG00000109061.10","grey","ENSG00000109061","MYH1",FALSE,"MYH1","protein_coding","chr17",10492307,10518542,"-",10518542,26236
"ENSG00000100292.18","black","ENSG00000100292","HMOX1",FALSE,"HMOX1","protein_coding","chr22",35380361,35394214,"+",35380361,13854
"ENSG00000164418.22","grey60","ENSG00000164418","GRIK2",FALSE,"GRIK2","protein_coding","chr6",101181257,102081622,"+",101181257,900366
"ENSG00000205362.11","black","ENSG00000205362","MT1A",FALSE,"MT1A","protein_coding","chr16",56638666,56640087,"+",56638666,1422
"ENSG00000164588.8","yellow","ENSG00000164588","HCN1",FALSE,"HCN1","protein_coding","chr5",45254948,45696498,"-",45696498,441551
"ENSG00000243429.1","yellow","ENSG00000243429","OR7E29P",FALSE,"OR7E29P","unprocessed_pseudogene","chr3",125712139,125713045,"+",125712139,907
"ENSG00000116771.6","yellow","ENSG00000116771","AGMAT",FALSE,"AGMAT","protein_coding","chr1",15571734,15585051,"-",15585051,13318
"ENSG00000236345.2","brown","ENSG00000236345","SCAT8",FALSE,"SCAT8","lncRNA","chr6",63805852,63822699,"+",63805852,16848
"ENSG00000139329.5","turquoise","ENSG00000139329","LUM",FALSE,"LUM","protein_coding","chr12",91102629,91111494,"-",91111494,8866
"ENSG00000142973.15","brown","ENSG00000142973","CYP4B1",FALSE,"CYP4B1","protein_coding","chr1",46757838,46819413,"+",46757838,61576
"ENSG00000159251.8","turquoise","ENSG00000159251","ACTC1",FALSE,"ACTC1","protein_coding","chr15",34791114,34795549,"-",34795549,4436
"ENSG00000184588.18","lightcyan","ENSG00000184588","PDE4B",FALSE,"PDE4B","protein_coding","chr1",65792514,66374579,"+",65792514,582066
"ENSG00000286452.1","blue","ENSG00000286452","ENSG00000286452",FALSE,"ENSG00000286452","lncRNA","chr6",141403240,141404494,"+",141403240,1255
"ENSG00000131095.14","lightyellow","ENSG00000131095","GFAP",FALSE,"GFAP","protein_coding","chr17",44905391,44916937,"-",44916937,11547
"ENSG00000108342.13","grey60","ENSG00000108342","CSF3",FALSE,"CSF3","protein_coding","chr17",40015361,40017813,"+",40015361,2453
"ENSG00000248514.1","blue","ENSG00000248514","ENSG00000248514",FALSE,"ENSG00000248514","lncRNA","chr5",181205361,181206120,"-",181206120,760
"ENSG00000237927.1","brown","ENSG00000237927","ENSG00000237927",FALSE,"ENSG00000237927","lncRNA","chr6",159586955,159589169,"-",159589169,2215
"ENSG00000109321.11","black","ENSG00000109321","AREG",FALSE,"AREG","protein_coding","chr4",74445136,74455005,"+",74445136,9870
"ENSG00000174407.14","yellow","ENSG00000174407","MIR1-1HG",FALSE,"MIR1-1HG","lncRNA","chr20",62550447,62570767,"+",62550447,20321
"ENSG00000177752.15","blue","ENSG00000177752","YIPF7",FALSE,"YIPF7","protein_coding","chr4",44622088,44678419,"-",44678419,56332
"ENSG00000204792.2","grey","ENSG00000204792","LINC01291",FALSE,"LINC01291","lncRNA","chr2",74918148,74938418,"+",74918148,20271
"ENSG00000225613.2","blue","ENSG00000225613","LINCMD1",FALSE,"LINCMD1","lncRNA","chr6",52146814,52151119,"-",52151119,4306
"ENSG00000138356.14","brown","ENSG00000138356","AOX1",FALSE,"AOX1","protein_coding","chr2",200586014,200677064,"+",200586014,91051
"ENSG00000188086.15","blue","ENSG00000188086","PRSS45P",FALSE,"PRSS45P","protein_coding","chr3",46742092,46750891,"-",46750891,8800
"ENSG00000286689.1","blue","ENSG00000286689","ENSG00000286689",FALSE,"ENSG00000286689","lncRNA","chr3",15970003,15971253,"+",15970003,1251
"ENSG00000215483.12","brown","ENSG00000215483","LINC00598",FALSE,"LINC00598","lncRNA","chr13",40079106,40535807,"-",40535807,456702
