"gene","module","MM","p_MM","GS_AGE","p_GS_AGE","abs_MM","abs_GS_AGE","rank_in_module","symbol","is_GenAge","gene_type","chromosome","gene_start","gene_end","strand","TSS","gene_length","ERV_position_eligible","promoter_ERV_n","promoter_ERV_any","promoter_ERV_families","nearest_ERV_distance","nearest_ERV_signed_distance","nearest_ERV_fragment_id","nearest_ERV_repName","nearest_ERV_family","nearest_ERV_part","nearest_ERV_start","nearest_ERV_end","nearest_ERV_strand","nearest_ERV_direction","AGE_expression_direction","candidate_group","priority_rank"
"ENSG00000101084.19","red",0.828274488013281,1.79078045075048e-207,-0.341661370471259,8.20497687515503e-24,0.828274488013281,0.341661370471259,4,"RAB5IF",FALSE,"protein_coding","chr20",36605779,36612317,"+",36605779,6539,TRUE,1,TRUE,"ERV1",1933,-1933,"chr20_36603792_36603845_LTR49","LTR49","ERV1","LTR_or_other",36603792,36603845,"-","upstream","decreases_with_age","promoter_ERV",1
"ENSG00000148300.12","red",0.76924421565004,6.6559104257816e-161,-0.31981316734837,6.57537491059233e-21,0.76924421565004,0.31981316734837,27,"REXO4",FALSE,"protein_coding","chr9",133406097,133418096,"-",133418096,12000,TRUE,1,TRUE,"ERV1",367,-367,"chr9_133418464_133418920_LTR2","LTR2","ERV1","LTR_or_other",133418464,133418920,"-","upstream","decreases_with_age","promoter_ERV",2
"ENSG00000260404.4","greenyellow",0.711071645163522,5.87951551943837e-127,0.293568895753421,1.00790501323448e-17,0.711071645163522,0.293568895753421,26,"ENSG00000260404",FALSE,"transcribed_unprocessed_pseudogene","chr4",118591719,118633729,"+",118591719,42011,TRUE,7,TRUE,"ERV1;ERVL;ERVL-MaLR",323,-323,"chr4_118591354_118591395_MLT2F","MLT2F","ERVL","LTR_or_other",118591354,118591395,"+","upstream","increases_with_age","promoter_ERV",3
"ENSG00000182841.13","greenyellow",0.74093566229267,3.05781386641307e-143,0.293096021333581,1.14257641731005e-17,0.74093566229267,0.293096021333581,15,"RRP7BP",FALSE,"transcribed_unprocessed_pseudogene","chr22",42555212,42582039,"-",42582039,26828,TRUE,1,TRUE,"ERVL-MaLR",1002,-1002,"chr22_42583042_42583237_MLT1G","MLT1G","ERVL-MaLR","LTR_or_other",42583042,42583237,"-","upstream","increases_with_age","promoter_ERV",4
"ENSG00000126243.9","red",0.819547804643716,1.55951545050913e-199,-0.291055642976653,1.95761906628199e-17,0.819547804643716,0.291055642976653,8,"LRFN3",FALSE,"protein_coding","chr19",35935358,35946624,"+",35935358,11267,TRUE,1,TRUE,"ERVL",538,-538,"chr19_35934749_35934819_LTR16E1","LTR16E1","ERVL","LTR_or_other",35934749,35934819,"+","upstream","decreases_with_age","promoter_ERV",5
"ENSG00000134874.18","turquoise",0.842790515486533,9.94371140413749e-222,0.275945900872101,9.22690780121666e-16,0.842790515486533,0.275945900872101,20,"DZIP1",FALSE,"protein_coding","chr13",95579760,95644706,"-",95644706,64947,TRUE,1,TRUE,"ERV1",1996,-1996,"chr13_95646703_95646717_MER4CL34","MER4CL34","ERV1","LTR_or_other",95646703,95646717,"-","upstream","increases_with_age","promoter_ERV",6
"ENSG00000139117.14","pink",0.807490360732181,3.03499178411837e-189,0.271938870930878,2.46481953000647e-15,0.807490360732181,0.271938870930878,23,"CPNE8",FALSE,"protein_coding","chr12",38646822,38907430,"-",38907430,260609,TRUE,1,TRUE,"ERVL-MaLR",1905,-1905,"chr12_38909336_38909639_MLT1C","MLT1C","ERVL-MaLR","LTR_or_other",38909336,38909639,"+","upstream","increases_with_age","promoter_ERV",7
"ENSG00000213906.10","greenyellow",0.758538777938597,6.15638081548329e-154,0.270211641628516,3.74586654871987e-15,0.758538777938597,0.270211641628516,11,"LTB4R2",FALSE,"protein_coding","chr14",24309125,24312053,"+",24309125,2929,TRUE,3,TRUE,"ERVL",0,0,"chr14_24308793_24309154_LTR42","LTR42","ERVL","LTR_or_other",24308793,24309154,"+","overlaps_TSS","increases_with_age","promoter_ERV",8
"ENSG00000140937.14","turquoise",0.846504352820555,1.30693565213867e-225,0.268990517268084,5.02657064243172e-15,0.846504352820555,0.268990517268084,16,"CDH11",FALSE,"protein_coding","chr16",64943753,65126112,"-",65126112,182360,TRUE,1,TRUE,"ERVL-MaLR",1256,-1256,"chr16_65127369_65127706_MLT1H","MLT1H","ERVL-MaLR","LTR_or_other",65127369,65127706,"-","upstream","increases_with_age","promoter_ERV",9
"ENSG00000100605.17","red",0.806390150435206,2.42462893906902e-188,-0.265868240808662,1.05896571549768e-14,0.806390150435206,0.265868240808662,11,"ITPK1",FALSE,"protein_coding","chr14",92936914,93116320,"-",93116320,179407,TRUE,1,TRUE,"ERV1",405,-405,"chr14_93116726_93116878_MER31B","MER31B","ERV1","LTR_or_other",93116726,93116878,"+","upstream","decreases_with_age","promoter_ERV",10
"ENSG00000140931.20","turquoise",0.833579629373121,1.59711498360564e-212,0.26502718364569,1.29220024227924e-14,0.833579629373121,0.26502718364569,30,"CMTM3",FALSE,"protein_coding","chr16",66603874,66613892,"+",66603874,10019,TRUE,5,TRUE,"ERV1;ERVL",182,-182,"chr16_66603587_66603691_LTR62","LTR62","ERVL","LTR_or_other",66603587,66603691,"-","upstream","increases_with_age","promoter_ERV",11
"ENSG00000142173.16","turquoise",0.856360196673964,1.97437160726033e-236,0.239684683951485,3.75351735120157e-12,0.856360196673964,0.239684683951485,8,"COL6A2",FALSE,"protein_coding","chr21",46098112,46132848,"+",46098112,34737,TRUE,3,TRUE,"ERVL",1174,-1174,"chr21_46096533_46096937_LTR16B","LTR16B","ERVL","LTR_or_other",46096533,46096937,"-","upstream","increases_with_age","promoter_ERV",12
