"gene","symbol","module","chromosome","gene_strand","TSS","promoter_start","promoter_end","erv_fragment_id","repeat_start","repeat_end","erv_strand","repName","repFamily","repeat_part","percent_divergence"
"ENSG00000134184.13","GSTM1","grey","chr1","+",109687814,109685814,109688313,"chr1_109686308_109686965_PABL_A",109686308,109686965,"+","PABL_A","ERV1","LTR_or_other",6.9
"ENSG00000133048.13","CHI3L1","black","chr1","-",203186704,203186205,203188704,"chr1_203187681_203188397_LTR83",203187681,203188397,"-","LTR83","ERVL","LTR_or_other",24.5
"ENSG00000133048.13","CHI3L1","black","chr1","-",203186704,203186205,203188704,"chr1_203188538_203189047_LTR40a",203188538,203189047,"-","LTR40a","ERVL","LTR_or_other",21
"ENSG00000214097.5","SMCO1","blue","chr3","-",196515346,196514847,196517346,"chr3_196517147_196517573_MER21B",196517147,196517573,"+","MER21B","ERVL","LTR_or_other",20.3
"ENSG00000289456.1","ENSG00000289456","brown","chr6","-",35566952,35566453,35568952,"chr6_35566409_35566828_HERVIP10B3-int",35566409,35566828,"-","HERVIP10B3-int","ERV1","internal",26.3
"ENSG00000289456.1","ENSG00000289456","brown","chr6","-",35566952,35566453,35568952,"chr6_35566830_35567331_LTR10B",35566830,35567331,"-","LTR10B","ERV1","LTR_or_other",11.3
"ENSG00000188488.14","SERPINA5","grey60","chr14","+",94578706,94576706,94579205,"chr14_94578452_94578663_MLT1B",94578452,94578663,"+","MLT1B","ERVL-MaLR","LTR_or_other",19.8
"ENSG00000188488.14","SERPINA5","grey60","chr14","+",94578706,94576706,94579205,"chr14_94578702_94578929_MLT1B",94578702,94578929,"+","MLT1B","ERVL-MaLR","LTR_or_other",19.8
"ENSG00000137968.17","SLC44A5","grey","chr1","-",75611114,75610615,75613114,"chr1_75610464_75610675_MLT1F",75610464,75610675,"-","MLT1F","ERVL-MaLR","LTR_or_other",25.9
"ENSG00000178055.13","PRSS42P","blue","chr3","-",46834095,46833596,46836095,"chr3_46834473_46835025_ERVL-E-int",46834473,46835025,"-","ERVL-E-int","ERVL","internal",31.7
"ENSG00000178055.13","PRSS42P","blue","chr3","-",46834095,46833596,46836095,"chr3_46835026_46836001_LTR13",46835026,46836001,"-","LTR13","ERVK","LTR_or_other",15
"ENSG00000178055.13","PRSS42P","blue","chr3","-",46834095,46833596,46836095,"chr3_46836002_46836082_ERVL-E-int",46836002,46836082,"-","ERVL-E-int","ERVL","internal",31.7
"ENSG00000214970.8","ENSG00000214970","yellow","chr17","+",10579040,10577040,10579539,"chr17_10578837_10579003_MLT1K",10578837,10579003,"-","MLT1K","ERVL-MaLR","LTR_or_other",35.1
"ENSG00000141579.7","ZNF750","grey60","chr17","-",82840022,82839523,82842022,"chr17_82841634_82842121_MLT1H1",82841634,82842121,"-","MLT1H1","ERVL-MaLR","LTR_or_other",29.1
"ENSG00000204460.3","LINC01854","yellow","chr2","-",129273848,129273349,129275848,"chr2_129274316_129274660_MLT2F",129274316,129274660,"+","MLT2F","ERVL","LTR_or_other",26.5
"ENSG00000170477.13","KRT4","skyblue","chr12","-",52814116,52813617,52816116,"chr12_52815295_52815655_THE1B",52815295,52815655,"+","THE1B","ERVL-MaLR","LTR_or_other",15.8
"ENSG00000075702.19","WDR62","blue","chr19","+",36054881,36052881,36055380,"chr19_36052486_36052940_LTR65",36052486,36052940,"-","LTR65","ERV1","LTR_or_other",20.9
"ENSG00000075702.19","WDR62","blue","chr19","+",36054881,36052881,36055380,"chr19_36053582_36053652_LTR65",36053582,36053652,"-","LTR65","ERV1","LTR_or_other",20.9
"ENSG00000189350.13","TOGARAM2","brown","chr2","+",28956611,28954611,28957110,"chr2_28955250_28955360_LTR33",28955250,28955360,"+","LTR33","ERVL","LTR_or_other",25.2
"ENSG00000189350.13","TOGARAM2","brown","chr2","+",28956611,28954611,28957110,"chr2_28955522_28955650_LTR33",28955522,28955650,"+","LTR33","ERVL","LTR_or_other",25.2
"ENSG00000189350.13","TOGARAM2","brown","chr2","+",28956611,28954611,28957110,"chr2_28955654_28955751_MLT1O",28955654,28955751,"-","MLT1O","ERVL-MaLR","LTR_or_other",23.7
"ENSG00000182177.15","ASB18","blue","chr2","-",236264409,236263910,236266409,"chr2_236265249_236265661_MLT2D",236265249,236265661,"+","MLT2D","ERVL","LTR_or_other",20.6
