"epigenome","tissue","erv_fragment_id","chromosome","repeat_start","repeat_end","repeat_length","erv_strand","repName","repFamily","repeat_part","percent_divergence","enhancer_start","enhancer_end","enhancer_state"
"E100","Psoas muscle","chr1_819066_819303_MLT1I","chr1",819066,819303,238,"+","MLT1I","ERVL-MaLR","LTR_or_other",26.7,818021,821020,"EnhA2"
"E100","Psoas muscle","chr1_1132633_1132986_MLT1B","chr1",1132633,1132986,354,"-","MLT1B","ERVL-MaLR","LTR_or_other",26.9,1132421,1133420,"EnhA2"
"E100","Psoas muscle","chr1_1214911_1215005_MLT1B","chr1",1214911,1215005,95,"+","MLT1B","ERVL-MaLR","LTR_or_other",20.4,1213021,1215620,"EnhA2"
"E100","Psoas muscle","chr1_1418378_1418852_LTR2B","chr1",1418378,1418852,475,"-","LTR2B","ERV1","LTR_or_other",3.8,1418821,1419820,"EnhA2"
"E100","Psoas muscle","chr1_1470519_1470858_LTR10A","chr1",1470519,1470858,340,"-","LTR10A","ERV1","LTR_or_other",15.8,1470621,1470820,"EnhA2"
"E100","Psoas muscle","chr1_1504966_1505957_LTR13","chr1",1504966,1505957,992,"-","LTR13","ERVK","LTR_or_other",5.2,1504821,1507020,"EnhA2"
"E100","Psoas muscle","chr1_1575525_1575713_MER65A","chr1",1575525,1575713,189,"-","MER65A","ERV1","LTR_or_other",14.9,1575621,1575820,"EnhA2"
"E100","Psoas muscle","chr1_1614166_1614629_MER65D","chr1",1614166,1614629,464,"+","MER65D","ERV1","LTR_or_other",33.6,1614221,1614420,"EnhA1"
"E100","Psoas muscle","chr1_1661233_1661372_MER65B","chr1",1661233,1661372,140,"+","MER65B","ERV1","LTR_or_other",28.8,1660940,1661539,"EnhA1"
"E100","Psoas muscle","chr1_1727139_1727279_MER65B","chr1",1727139,1727279,141,"+","MER65B","ERV1","LTR_or_other",28.8,1726962,1727361,"EnhA1"
"E100","Psoas muscle","chr1_1910681_1910785_LTR16E1","chr1",1910681,1910785,105,"-","LTR16E1","ERVL","LTR_or_other",29.1,1910162,1911161,"EnhA2"
"E100","Psoas muscle","chr1_1911129_1911253_ERV3-16A3_I-int","chr1",1911129,1911253,125,"-","ERV3-16A3_I-int","ERVL","internal",24,1910162,1911161,"EnhA2"
"E100","Psoas muscle","chr1_2277285_2277630_THE1A","chr1",2277285,2277630,346,"+","THE1A","ERVL-MaLR","LTR_or_other",7.8,2276962,2277361,"EnhA2"
"E100","Psoas muscle","chr1_2277285_2277630_THE1A","chr1",2277285,2277630,346,"+","THE1A","ERVL-MaLR","LTR_or_other",7.8,2277562,2279761,"EnhA2"
"E100","Psoas muscle","chr1_2278567_2278716_MLT1A0","chr1",2278567,2278716,150,"-","MLT1A0","ERVL-MaLR","LTR_or_other",25.5,2277562,2279761,"EnhA2"
"E100","Psoas muscle","chr1_2384393_2384801_MER34C_","chr1",2384393,2384801,409,"+","MER34C_","ERV1","LTR_or_other",22.2,2384762,2385361,"EnhA2"
"E100","Psoas muscle","chr1_2576130_2576321_MLT1B","chr1",2576130,2576321,192,"-","MLT1B","ERVL-MaLR","LTR_or_other",30.7,2575562,2578761,"EnhA2"
"E100","Psoas muscle","chr1_3540576_3540898_MLT1A0","chr1",3540576,3540898,323,"-","MLT1A0","ERVL-MaLR","LTR_or_other",29.2,3539637,3540836,"EnhA2"
"E100","Psoas muscle","chr1_6348420_6348783_MLT1A0","chr1",6348420,6348783,364,"+","MLT1A0","ERVL-MaLR","LTR_or_other",20.5,6348341,6348940,"EnhA2"
"E100","Psoas muscle","chr1_8076763_8076940_LTR9D","chr1",8076763,8076940,178,"+","LTR9D","ERV1","LTR_or_other",10.8,8076741,8078540,"EnhA2"
"E100","Psoas muscle","chr1_8113386_8113594_MLT1E3","chr1",8113386,8113594,209,"-","MLT1E3","ERVL-MaLR","LTR_or_other",20.9,8113341,8114140,"EnhA2"
"E100","Psoas muscle","chr1_8113893_8114318_MLT1E3","chr1",8113893,8114318,426,"-","MLT1E3","ERVL-MaLR","LTR_or_other",20.9,8113341,8114140,"EnhA2"
"E100","Psoas muscle","chr1_8350361_8350633_LTR86C","chr1",8350361,8350633,273,"+","LTR86C","ERVL","LTR_or_other",34.4,8350141,8353940,"EnhA2"
"E100","Psoas muscle","chr1_8350662_8350872_LTR86C","chr1",8350662,8350872,211,"+","LTR86C","ERVL","LTR_or_other",30.6,8350141,8353940,"EnhA2"
"E100","Psoas muscle","chr1_8378394_8378769_MLT1B","chr1",8378394,8378769,376,"+","MLT1B","ERVL-MaLR","LTR_or_other",14.1,8378141,8380540,"EnhA1"
"E100","Psoas muscle","chr1_8401773_8401858_MLT1G","chr1",8401773,8401858,86,"+","MLT1G","ERVL-MaLR","LTR_or_other",25.8,8401541,8402540,"EnhG1"
"E100","Psoas muscle","chr1_8402167_8402532_MLT1G","chr1",8402167,8402532,366,"+","MLT1G","ERVL-MaLR","LTR_or_other",23.7,8401541,8402540,"EnhG1"
"E100","Psoas muscle","chr1_8411478_8411727_MLT1H1","chr1",8411478,8411727,250,"+","MLT1H1","ERVL-MaLR","LTR_or_other",28.9,8411341,8412940,"EnhA1"
"E100","Psoas muscle","chr1_8858594_8858733_ERVL-B4-int","chr1",8858594,8858733,140,"+","ERVL-B4-int","ERVL","internal",22.1,8856942,8859541,"EnhA2"
"E100","Psoas muscle","chr1_8858736_8858901_MLT2C1","chr1",8858736,8858901,166,"+","MLT2C1","ERVL","LTR_or_other",24,8856942,8859541,"EnhA2"
"E100","Psoas muscle","chr1_8859195_8859355_MLT2C1","chr1",8859195,8859355,161,"+","MLT2C1","ERVL","LTR_or_other",24,8856942,8859541,"EnhA2"
"E100","Psoas muscle","chr1_9064554_9064769_LTR56","chr1",9064554,9064769,216,"+","LTR56","ERV1","LTR_or_other",21.4,9062542,9065541,"EnhA2"
"E100","Psoas muscle","chr1_9065072_9065301_LTR56","chr1",9065072,9065301,230,"+","LTR56","ERV1","LTR_or_other",20.3,9062542,9065541,"EnhA2"
"E100","Psoas muscle","chr1_9124260_9125131_MER11D","chr1",9124260,9125131,872,"+","MER11D","ERVK","LTR_or_other",4.6,9123342,9125141,"EnhA2"
"E100","Psoas muscle","chr1_9272285_9272408_MLT1K","chr1",9272285,9272408,124,"+","MLT1K","ERVL-MaLR","LTR_or_other",30.6,9269742,9272341,"EnhA2"
"E100","Psoas muscle","chr1_9437240_9437530_MLT1A1","chr1",9437240,9437530,291,"+","MLT1A1","ERVL-MaLR","LTR_or_other",16.6,9436742,9440741,"EnhA2"
"E100","Psoas muscle","chr1_9440380_9440741_MSTD","chr1",9440380,9440741,362,"-","MSTD","ERVL-MaLR","LTR_or_other",16.9,9436742,9440741,"EnhA2"
"E100","Psoas muscle","chr1_9447861_9448003_LTR78","chr1",9447861,9448003,143,"+","LTR78","ERV1","LTR_or_other",27.7,9447542,9448341,"EnhA2"
"E100","Psoas muscle","chr1_9448313_9448422_LTR78","chr1",9448313,9448422,110,"+","LTR78","ERV1","LTR_or_other",27.7,9447542,9448341,"EnhA2"
"E100","Psoas muscle","chr1_9448313_9448422_LTR78","chr1",9448313,9448422,110,"+","LTR78","ERV1","LTR_or_other",27.7,9448342,9448941,"EnhA1"
"E100","Psoas muscle","chr1_9448737_9448834_LTR78","chr1",9448737,9448834,98,"+","LTR78","ERV1","LTR_or_other",29.6,9448342,9448941,"EnhA1"
"E100","Psoas muscle","chr1_9946678_9947000_MLT1B","chr1",9946678,9947000,323,"+","MLT1B","ERVL-MaLR","LTR_or_other",22.1,9946143,9947342,"EnhA2"
"E100","Psoas muscle","chr1_10152817_10153078_LTR50","chr1",10152817,10153078,262,"-","LTR50","ERVL","LTR_or_other",29.2,10152943,10155542,"EnhA2"
"E100","Psoas muscle","chr1_10153084_10153223_LTR50","chr1",10153084,10153223,140,"-","LTR50","ERVL","LTR_or_other",23,10152943,10155542,"EnhA2"
"E100","Psoas muscle","chr1_10154390_10154431_LTR50","chr1",10154390,10154431,42,"-","LTR50","ERVL","LTR_or_other",19.1,10152943,10155542,"EnhA2"
"E100","Psoas muscle","chr1_10973588_10974728_MER52C","chr1",10973588,10974728,1141,"+","MER52C","ERV1","LTR_or_other",12,10973944,10974343,"EnhA1"
